CODE,Cat1,Cat2,Cat3,Cat4,Description,$,T,P,P1
C143,CONSULTATIONS AND VISITS,OTOLARYNGOLOGY(24),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Subsequent visits by the MRP following transfer from an Intensive Care Area,second subsequent visit by the MRP following transfer from an Intensive Care Area,61.15,,,
C143,CONSULTATIONS AND VISITS,PAEDIATRICS(26),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Subsequent visits by the MRP following transfer from an Intensive Care Area,second subsequent visit by the MRP following transfer from an Intensive Care Area,61.15,,,
C143,CONSULTATIONS AND VISITS,PHYSICAL MEDICINE & REHABILITATION(31),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES ,Subsequent visits by the MRP following transfer from an Intensive Care Area,second subsequent visit by the MRP following transfer from an Intensive Care Area,61.15,,,
C143,CONSULTATIONS AND VISITS,PLASTIC SURGERY(08),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Subsequent visits by the MRP following transfer from an Intensive Care Area,second subsequent visit by the MRP following transfer from an Intensive Care Area,61.15,,,
C143,CONSULTATIONS AND VISITS,PSYCHIATRY(19),NON-EMERGENCY HOSPITAL SERVICES,Subsequent visits by the MRP following transfer from an Intensive Care Area,second subsequent visit by the MRP following transfer from an Intensive Care Area,61.15,,,
C143,CONSULTATIONS AND VISITS,RADIATION ONCOLOGY(34),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Subsequent visits by the MRP following transfer from an Intensive Care Area,second subsequent visit by the MRP following transfer from an Intensive Care Area,61.15,,,
C143,CONSULTATIONS AND VISITS,RESPIRATORY DISEASE(47),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Subsequent visits by the MRP following transfer from an Intensive Care Area,second subsequent visit by the MRP following transfer from an Intensive Care Area,61.15,,,
C143,CONSULTATIONS AND VISITS,RHEUMATOLOGY(48),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Subsequent visits by the MRP following transfer from an Intensive Care Area,second subsequent visit by the MRP following transfer from an Intensive Care Area,61.15,,,
C143,CONSULTATIONS AND VISITS,UROLOGY(35),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Subsequent visits by the MRP following transfer from an Intensive Care Area,second subsequent visit by the MRP following transfer from an Intensive Care Area,61.15,,,
C143,CONSULTATIONS AND VISITS,VASCULAR SURGERY(17),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Subsequent visits by the MRP following transfer from an Intensive Care Area,second subsequent visit by the MRP following transfer from an Intensive Care Area,61.15,,,
C143,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL(00),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Subsequent  visits  by  the  MRP  following  transfer  from  an  Intensive  Care  Area,- second subsequent visit by the MRP following transfer from an intensive care area,61.15,,,
C143,CONSULTATIONS AND VISITS,ANAESTHESIA(01),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Subsequent visits by the MRP following transfer from an intensive care area,- second subsequent visit by the MRP following transfer from an intensive care area,61.15,,,
C143,CONSULTATIONS AND VISITS,CARDIOLOGY(60),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Subsequent visits by the MRP following transfer from an intensive care area,- second subsequent visit by the MRP following transfer from an intensive care area,61.15,,,
C143,CONSULTATIONS AND VISITS,CARDIAC SURGERY(09),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Subsequent visits by the MRP following transfer from an intensive care area,- second subsequent visit by the MRP following transfer from an intensive care area,61.15,,,
C143,CONSULTATIONS AND VISITS,CLINICAL IMMUNOLOGY(62),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Subsequent visits by the MRP following transfer from an intensive care area,- second subsequent visit by the MRP following transfer from an intensive care area,61.15,,,
C143,CONSULTATIONS AND VISITS,COMMUNITY MEDICINE(05),NON-EMERGENCY  HOSPITAL  IN-PATIENT  SERVICES,Subsequent visits by the MRP following transfer from an intensive care area,- second subsequent visit by the MRP following transfer from an intensive care area,61.15,,,
C143,CONSULTATIONS AND VISITS,CRITICAL CARE MEDICINE(11),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Subsequent visits by the MRP following transfer from an Intensive Care Area,- second subsequent visit by the MRP following transfer from an intensive care area,61.15,,,
C143,CONSULTATIONS AND VISITS,DERMATOLOGY(02),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Subsequent visits by the MRP following transfer from an intensive care area,- second subsequent visit by the MRP following transfer from an intensive care area,61.15,,,
C143,CONSULTATIONS AND VISITS,ENDOCRINOLOGY & METABOLISM(15),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Subsequent visits by the MRP following transfer from an intensive care area,- second subsequent visit by the MRP following transfer from an intensive care area,61.15,,,
C150,CONSULTATIONS AND VISITS,ENDOCRINOLOGY & METABOLISM(15),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Comprehensive endocrinology consultation ,310.45,,,
C151,CONSULTATIONS AND VISITS,ENDOCRINOLOGY & METABOLISM(15),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Complex medical specific re-assessment,74.8,,,
C152,CONSULTATIONS AND VISITS,ENDOCRINOLOGY & METABOLISM(15),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Subsequent visits,- first five weeks ,34.1,,,
C153,CONSULTATIONS AND VISITS,ENDOCRINOLOGY & METABOLISM(15),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Medical specific assessment,84.6,,,
C154,CONSULTATIONS AND VISITS,ENDOCRINOLOGY & METABOLISM(15),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Medical specific re-assessment,62.85,,,
C155,CONSULTATIONS AND VISITS,ENDOCRINOLOGY & METABOLISM(15),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Consultation,165.3,,,
C156,CONSULTATIONS AND VISITS,ENDOCRINOLOGY & METABOLISM(15),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Repeat consultation,105.25,,,
C157,CONSULTATIONS AND VISITS,ENDOCRINOLOGY & METABOLISM(15),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Subsequent visits,- sixth to thirteenth week inclusive (maximum 3 per patient per week)  ,34.1,,,
C158,CONSULTATIONS AND VISITS,ENDOCRINOLOGY & METABOLISM(15),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Subsequent visits by the MRP following transfer from an intensive care area,Concurrent care   ,34.1,,,
C159,CONSULTATIONS AND VISITS,ENDOCRINOLOGY & METABOLISM(15),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Subsequent visits,- after thirteenth week (maximum 6 per patient per month)   ,34.1,,,
C160,CONSULTATIONS AND VISITS,NEPHROLOGY(16),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Comprehensive nephrology consultation subject to the same conditions as A160,310.45,,,
C161,CONSULTATIONS AND VISITS,NEPHROLOGY(16),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Complex medical specific re-assessment,71.85,,,
C162,CONSULTATIONS AND VISITS,NEPHROLOGY(16),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Subsequent visits,first five weeks,34.1,,,
C163,CONSULTATIONS AND VISITS,NEPHROLOGY(16),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Medical specific assessment,80.95,,,
C164,CONSULTATIONS AND VISITS,NEPHROLOGY(16),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Medical specific re-assessment,62.1,,,
C165,CONSULTATIONS AND VISITS,NEPHROLOGY(16),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Consultation,162.9,,,
C166,CONSULTATIONS AND VISITS,NEPHROLOGY(16),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Repeat consultation,105.25,,,
C167,CONSULTATIONS AND VISITS,NEPHROLOGY(16),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Subsequent visits,sixth to thirteenth week inclusive (maximum 3 per patient per week),34.1,,,
C168,CONSULTATIONS AND VISITS,NEPHROLOGY(16),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Subsequent visits by the MRP following transfer from an Intensive Care Area,Concurrent care,34.1,,,
C169,CONSULTATIONS AND VISITS,NEPHROLOGY(16),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Subsequent visits,after thirteenth week (maximum 6 per patient per month),34.1,,,
C172,CONSULTATIONS AND VISITS,VASCULAR SURGERY(17),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Subsequent visits,first five weeks,31,,,
C173,CONSULTATIONS AND VISITS,VASCULAR SURGERY(17),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Specific assessment,44.4,,,
C174,CONSULTATIONS AND VISITS,VASCULAR SURGERY(17),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Specific re-assessment,25.95,,,
C175,CONSULTATIONS AND VISITS,VASCULAR SURGERY(17),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Consultation,107.45,,,
C176,CONSULTATIONS AND VISITS,VASCULAR SURGERY(17),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Repeat consultation,60,,,
C177,CONSULTATIONS AND VISITS,VASCULAR SURGERY(17),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Subsequent visits,sixth to thirteenth week inclusive (maximum 3 per patient per week),31,,,
C178,CONSULTATIONS AND VISITS,VASCULAR SURGERY(17),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Subsequent visits by the MRP following transfer from an Intensive Care Area,Concurrent care,31,,,
C179,CONSULTATIONS AND VISITS,VASCULAR SURGERY(17),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Subsequent visits,after thirteenth week (maximum 6 per patient per month),31,,,
C180,CONSULTATIONS AND VISITS,NEUROLOGY(18),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Special neurology consultation subject to the same conditions as A180,310.45,,,
C181,CONSULTATIONS AND VISITS,NEUROLOGY(18),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Complex medical specific re-assessment,75.2,,,
C182,CONSULTATIONS AND VISITS,NEUROLOGY(18),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Subsequent visits,first five weeks,34.1,,,
C183,CONSULTATIONS AND VISITS,NEUROLOGY(18),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Medical specific assessment,82.4,,,
C184,CONSULTATIONS AND VISITS,NEUROLOGY(18),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Medical specific re-assessment,64.95,,,
C185,CONSULTATIONS AND VISITS,NEUROLOGY(18),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Consultation,184.4,,,
C186,CONSULTATIONS AND VISITS,NEUROLOGY(18),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Repeat consultation,87.7,,,
C187,CONSULTATIONS AND VISITS,NEUROLOGY(18),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Subsequent visits,sixth to thirteenth week inclusive (maximum 3 per patient per week),34.1,,,
C188,CONSULTATIONS AND VISITS,NEUROLOGY(18),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Subsequent visits by the MRP following transfer from an Intensive Care Area,Concurrent care,34.1,,,
C189,CONSULTATIONS AND VISITS,NEUROLOGY(18),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Subsequent visits,after thirteenth week (maximum 6 per patient per month),34.1,,,
C190,CONSULTATIONS AND VISITS,PSYCHIATRY(19),NON-EMERGENCY HOSPITAL SERVICES,Not applicable,Special psychiatric consultation subject to the same conditions as A190,310.45,,,
C192,CONSULTATIONS AND VISITS,PSYCHIATRY(19),NON-EMERGENCY HOSPITAL SERVICES,Subsequent visits,first five weeks,34.1,,,
C193,CONSULTATIONS AND VISITS,PSYCHIATRY(19),NON-EMERGENCY HOSPITAL SERVICES,Not applicable,Specific assessment,86.35,,,
C194,CONSULTATIONS AND VISITS,PSYCHIATRY(19),NON-EMERGENCY HOSPITAL SERVICES,Not applicable,Specific re-assessment,66.25,,,
C196,CONSULTATIONS AND VISITS,PSYCHIATRY(19),NON-EMERGENCY HOSPITAL SERVICES,Not applicable,Repeat consultation,105.25,,,
C197,CONSULTATIONS AND VISITS,PSYCHIATRY(19),NON-EMERGENCY HOSPITAL SERVICES,Subsequent visits,sixth to thirteenth week inclusive (maximum 3 per patient per week),34.1,,,
C198,CONSULTATIONS AND VISITS,PSYCHIATRY(19),NON-EMERGENCY HOSPITAL SERVICES,Subsequent visits by the MRP following transfer from an Intensive Care Area,Concurrent care,34.1,,,
C199,CONSULTATIONS AND VISITS,PSYCHIATRY(19),NON-EMERGENCY HOSPITAL SERVICES,Subsequent visits,after thirteenth week (maximum 6 per patient per month),34.1,,,
C202,CONSULTATIONS AND VISITS,OBSTERICS AND GYNAECOLOGY(20),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Subsequent visits,first five weeks,31,,,
C203,CONSULTATIONS AND VISITS,OBSTERICS AND GYNAECOLOGY(20),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Specific assessment*,52.15,,,
C204,CONSULTATIONS AND VISITS,OBSTERICS AND GYNAECOLOGY(20),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Specific re-assessment*,36.85,,,
C205,CONSULTATIONS AND VISITS,OBSTERICS AND GYNAECOLOGY(20),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Consultation*,111.7,,,
C206,CONSULTATIONS AND VISITS,OBSTERICS AND GYNAECOLOGY(20),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Repeat consultation*,59.45,,,
C207,CONSULTATIONS AND VISITS,OBSTERICS AND GYNAECOLOGY(20),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Subsequent visits,sixth to thirteenth week inclusive (maximum 3 per patient per week),31,,,
C208,CONSULTATIONS AND VISITS,OBSTERICS AND GYNAECOLOGY(20),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Subsequent visits by the MRP following transfer from an Intensive Care Area,Concurrent care,31,,,
C209,CONSULTATIONS AND VISITS,OBSTERICS AND GYNAECOLOGY(20),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Subsequent visits,after thirteenth week (maximum 6 per patient per month),31,,,
C210,CONSULTATIONS AND VISITS,ANAESTHESIA(01),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Special anaesthetic consultation ,163.2,,,
C215,CONSULTATIONS AND VISITS,ANAESTHESIA(01),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Limited consultation for acute pain management ,69.75,,,
C220,CONSULTATIONS AND VISITS,GENETICS(22),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Special genetic consultation* subject to the same conditions as A220,310.45,,,
C222,CONSULTATIONS AND VISITS,GENETICS(22),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Subsequent visits,first five weeks,34.1,,,
C223,CONSULTATIONS AND VISITS,GENETICS(22),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Extended special genetic consultation* subject to the same conditions as A223,401.3,,,
C225,CONSULTATIONS AND VISITS,GENETICS(22),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Consultation*,167.9,,,
C226,CONSULTATIONS AND VISITS,GENETICS(22),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Repeat consultation,105.25,,,
C227,CONSULTATIONS AND VISITS,GENETICS(22),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Subsequent visits,sixth to thirteenth week inclusive (maximum 3 per patient per week),34.1,,,
C229,CONSULTATIONS AND VISITS,GENETICS(22),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Subsequent visits,after thirteenth week (maximum 6 per patient per month),34.1,,,
C231,CONSULTATIONS AND VISITS,OPHTHALMOLOGY(23),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Neuro-Ophthalmology Consultation – subject to the same conditions as A231,148.5,,,
C232,CONSULTATIONS AND VISITS,OPHTHALMOLOGY(23),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Subsequent visits,first five weeks,31,,,
C233,CONSULTATIONS AND VISITS,OPHTHALMOLOGY(23),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Specific assessment,57.7,,,
C234,CONSULTATIONS AND VISITS,OPHTHALMOLOGY(23),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Specific re-assessment,29.35,,,
C235,CONSULTATIONS AND VISITS,OPHTHALMOLOGY(23),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Consultation,82.4,,,
C236,CONSULTATIONS AND VISITS,OPHTHALMOLOGY(23),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Repeat consultation,45.85,,,
C237,CONSULTATIONS AND VISITS,OPHTHALMOLOGY(23),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Subsequent visits,sixth to thirteenth week inclusive (maximum 3 per patient per week),31,,,
C238,CONSULTATIONS AND VISITS,OPHTHALMOLOGY(23),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Subsequent visits by the MRP following transfer from an Intensive Care Area,Concurrent care,31,,,
C239,CONSULTATIONS AND VISITS,OPHTHALMOLOGY(23),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Subsequent visits,after thirteenth week (maximum 6 per patient per month),31,,,
C242,CONSULTATIONS AND VISITS,OTOLARYNGOLOGY(24),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Subsequent visits,first five weeks,31,,,
C243,CONSULTATIONS AND VISITS,OTOLARYNGOLOGY(24),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Specific assessment,43.2,,,
C244,CONSULTATIONS AND VISITS,OTOLARYNGOLOGY(24),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Specific re-assessment,27.5,,,
C245,CONSULTATIONS AND VISITS,OTOLARYNGOLOGY(24),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Consultation,83.95,,,
C246,CONSULTATIONS AND VISITS,OTOLARYNGOLOGY(24),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Repeat consultation,48.6,,,
C247,CONSULTATIONS AND VISITS,OTOLARYNGOLOGY(24),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Subsequent visits,sixth to thirteenth week inclusive (maximum 3 per patient per week),31,,,
C248,CONSULTATIONS AND VISITS,OTOLARYNGOLOGY(24),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Subsequent visits by the MRP following transfer from an Intensive Care Area,Concurrent care,31,,,
C249,CONSULTATIONS AND VISITS,OTOLARYNGOLOGY(24),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Subsequent visits,after thirteenth week (maximum 6 per patient per month),31,,,
C250,CONSULTATIONS AND VISITS,OPHTHALMOLOGY(23),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Retinopathy of prematurity assessment subject to the same conditions as A250,120,,,
C255,CONSULTATIONS AND VISITS,ENDOCRINOLOGY & METABOLISM(15),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Limited consultation,105.25,,,
C260,CONSULTATIONS AND VISITS,PAEDIATRICS(26),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Special paediatric consultation subject to the same conditions as A260,310.45,,,
C262,CONSULTATIONS AND VISITS,PAEDIATRICS(26),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Subsequent visits,per visit,34.1,,,
C263,CONSULTATIONS AND VISITS,PAEDIATRICS(26),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Medical specific assessment,82.9,,,
C264,CONSULTATIONS AND VISITS,PAEDIATRICS(26),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Medical specific re-assessment,61.25,,,
C265,CONSULTATIONS AND VISITS,PAEDIATRICS(26),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Consultation,181.45,,,
C266,CONSULTATIONS AND VISITS,PAEDIATRICS(26),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Repeat consultation,91.35,,,
C268,CONSULTATIONS AND VISITS,PAEDIATRICS(26),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Subsequent visits by the MRP following transfer from an Intensive Care Area,Concurrent care,34.1,,,
C275,CONSULTATIONS AND VISITS,INFECTIOUS DISEASE(46),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Limited consultation,105.25,,,
C283,CONSULTATIONS AND VISITS,LABORATORY MEDICINE(28),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Medical specific assessment,82.5,,,
C285,CONSULTATIONS AND VISITS,LABORATORY MEDICINE(28),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Consultation,163,,,
C286,CONSULTATIONS AND VISITS,LABORATORY MEDICINE(28),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Limited consultation,108.95,,,
C288,CONSULTATIONS AND VISITS,LABORATORY MEDICINE(28),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Concurrent care,30.1,,,
C311,CONSULTATIONS AND VISITS,PHYSICAL MEDICINE & REHABILITATION(31),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES ,Not applicable,Complex medical specific re-assessment,73.95,,,
C312,CONSULTATIONS AND VISITS,PHYSICAL MEDICINE & REHABILITATION(31),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES ,Subsequent visits,first five weeks,34.1,,,
C313,CONSULTATIONS AND VISITS,PHYSICAL MEDICINE & REHABILITATION(31),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES ,Not applicable,Medical specific assessment,77.2,,,
C314,CONSULTATIONS AND VISITS,PHYSICAL MEDICINE & REHABILITATION(31),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES ,Not applicable,Medical specific re-assessment,67.8,,,
C315,CONSULTATIONS AND VISITS,PHYSICAL MEDICINE & REHABILITATION(31),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES ,Not applicable,Consultation,208.75,,,
C316,CONSULTATIONS AND VISITS,PHYSICAL MEDICINE & REHABILITATION(31),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES ,Not applicable,Repeat consultation,95.25,,,
C317,CONSULTATIONS AND VISITS,PHYSICAL MEDICINE & REHABILITATION(31),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES ,Subsequent visits,sixth to thirteenth week inclusive (maximum 3 per patient per week),34.1,,,
C318,CONSULTATIONS AND VISITS,PHYSICAL MEDICINE & REHABILITATION(31),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES ,Subsequent visits by the MRP following transfer from an Intensive Care Area,Concurrent care,34.1,,,
C319,CONSULTATIONS AND VISITS,PHYSICAL MEDICINE & REHABILITATION(31),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES ,Subsequent visits,after thirteenth week (maximum 6 per patient per month),34.1,,,
C325,CONSULTATIONS AND VISITS,GENETICS(22),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Limited consultation,105.25,,,
C330,CONSULTATIONS AND VISITS,DIAGNOSTIC RADIOLOGY(33),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,"Radiology second opinion of CT study, per study subject to the same conditions as A330",89.5,,,
C332,CONSULTATIONS AND VISITS,DIAGNOSTIC RADIOLOGY(33),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,"Radiology second opinion of MRI study, per study subject to the same conditions as A332",199.7,,,
C335,CONSULTATIONS AND VISITS,DIAGNOSTIC RADIOLOGY(33),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Consultation subject to the same conditions as A335,50,,,
C341,CONSULTATIONS AND VISITS,RADIATION ONCOLOGY(34),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Complex medical specific re-assessment,71.4,,,
C342,CONSULTATIONS AND VISITS,RADIATION ONCOLOGY(34),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Subsequent visits,first five weeks,34.1,,,
C343,CONSULTATIONS AND VISITS,RADIATION ONCOLOGY(34),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Medical specific assessment,80.4,,,
C344,CONSULTATIONS AND VISITS,RADIATION ONCOLOGY(34),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Medical specific re-assessment,61.7,,,
C345,CONSULTATIONS AND VISITS,RADIATION ONCOLOGY(34),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Consultation,158.05,,,
C346,CONSULTATIONS AND VISITS,RADIATION ONCOLOGY(34),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Repeat consultation,102.9,,,
C347,CONSULTATIONS AND VISITS,RADIATION ONCOLOGY(34),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Subsequent visits,sixth to thirteenth week inclusive (maximum 3 per patient per week),34.1,,,
C348,CONSULTATIONS AND VISITS,RADIATION ONCOLOGY(34),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Subsequent visits by the MRP following transfer from an Intensive Care Area,Concurrent care,34.1,,,
C349,CONSULTATIONS AND VISITS,RADIATION ONCOLOGY(34),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Subsequent visits,after thirteenth week (maximum 6 per patient per month),34.1,,,
C352,CONSULTATIONS AND VISITS,UROLOGY(35),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Subsequent visits,first five weeks,31.6,,,
C353,CONSULTATIONS AND VISITS,UROLOGY(35),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Specific assessment*,46.8,,,
C354,CONSULTATIONS AND VISITS,UROLOGY(35),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Specific re-assessment,26.7,,,
C355,CONSULTATIONS AND VISITS,UROLOGY(35),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Consultation*,84.7,,,
C356,CONSULTATIONS AND VISITS,UROLOGY(35),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Not applicable,Repeat consultation*,59,,,
C357,CONSULTATIONS AND VISITS,UROLOGY(35),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Subsequent visits,sixth to thirteenth week inclusive (maximum 3 per patient per week),31.6,,,
C358,CONSULTATIONS AND VISITS,UROLOGY(35),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Subsequent visits by the MRP following transfer from an Intensive Care Area,Concurrent care,31.6,,,
C359,CONSULTATIONS AND VISITS,UROLOGY(35),NON-EMERGENCY HOSPITAL IN-PATIENT SERVICES,Subsequent visits,after thirteenth week (maximum 6 per patient per month),31.6,,,
