Billing Code,Category,Sub Category,Sub Category 2,Description,Provider Fee,Assistant Fee,Specialist Fee,Anaesthetist fee,Non- Anaesthetist fee,,,,,,,,,,,,,,,,
E335,OCULAR AND AURAL SURGICAL PROCEDURES,INNER EAR,,,,,,,,,,,,,,,,,,,,,,,
E336,OCULAR AND AURAL SURGICAL PROCEDURES,MIDDLE EAR,,,,,,,,,,,,,,,,,,,,,,,
E337,OCULAR AND AURAL SURGICAL PROCEDURES,MIDDLE EAR,,,,,,,,,,,,,,,,,,,,,,,
E339,OCULAR AND AURAL SURGICAL PROCEDURES,INNER EAR,,,,,,,,,,,,,,,,,,,,,,,
E341,OCULAR AND AURAL SURGICAL PROCEDURES,INNER EAR,,,,,,,,,,,,,,,,,,,,,,,
E345,OCULAR AND AURAL SURGICAL PROCEDURES,INNER EAR,,,,,,,,,,,,,,,,,,,,,,,
E346,OCULAR AND AURAL SURGICAL PROCEDURES,INNER EAR,,,,,,,,,,,,,,,,,,,,,,,
E360,SPINAL SURGICAL PROCEDURES,ANTERIOR SPINAL DECOMPRESSION,,,,,,,,,,,,,,,,,,,,,,,
E360,SPINAL SURGICAL PROCEDURES,ANTERIOR SPINAL DECOMPRESSION,,,,,,,,,,,,,,,,,,,,,,,
E360,SPINAL SURGICAL PROCEDURES,ANTERIOR SPINAL DECOMPRESSION,,,,,,,,,,,,,,,,,,,,,,,
E360,SPINAL SURGICAL PROCEDURES,ANTERIOR SPINAL DECOMPRESSION,,,,,,,,,,,,,,,,,,,,,,,
E360,SPINAL SURGICAL PROCEDURES,ANTERIOR SPINAL DECOMPRESSION,,,,,,,,,,,,,,,,,,,,,,,
E361,SPINAL SURGICAL PROCEDURES,POSTERIOR SPINAL DECOMPRESSION,,,,,,,,,,,,,,,,,,,,,,,
E361,SPINAL SURGICAL PROCEDURES,POSTERIOR SPINAL DECOMPRESSION,,,,,,,,,,,,,,,,,,,,,,,
E361,SPINAL SURGICAL PROCEDURES,PROCEDURES INVOLVING NEURAL ELEMENTS,,,,,,,,,,,,,,,,,,,,,,,
E362,SPINAL SURGICAL PROCEDURES,ANTERIOR SPINAL DECOMPRESSION,,,,,,,,,,,,,,,,,,,,,,,
E362,SPINAL SURGICAL PROCEDURES,ANTERIOR SPINAL DECOMPRESSION,,,,,,,,,,,,,,,,,,,,,,,
E362,SPINAL SURGICAL PROCEDURES,ANTERIOR SPINAL ARTHRODESIS WITH INSTRUMENTATION WITHOUT DECOMPRESSION,,,,,,,,,,,,,,,,,,,,,,,
E362,SPINAL SURGICAL PROCEDURES,FRACTURES OF THE SPINE,,,,,,,,,,,,,,,,,,,,,,,
E363,SPINAL SURGICAL PROCEDURES,ANTERIOR SPINAL ARTHRODESIS FOLLOWING DECOMPRESSION,,,,,,,,,,,,,,,,,,,,,,,
E364,SPINAL SURGICAL PROCEDURES,ANTERIOR SPINAL ARTHRODESIS FOLLOWING DECOMPRESSION,,,,,,,,,,,,,,,,,,,,,,,
E364,SPINAL SURGICAL PROCEDURES,ANTERIOR SPINAL ARTHRODESIS FOLLOWING DECOMPRESSION,,,,,,,,,,,,,,,,,,,,,,,
E364,SPINAL SURGICAL PROCEDURES,POSTERIOR SPINAL ARTHRODESIS FOLLOWING DECOMPRESSION OR OSTEOTOMY,,,,,,,,,,,,,,,,,,,,,,,
E364,SPINAL SURGICAL PROCEDURES,POSTERIOR SPINAL ARTHRODESIS AS SOLE PROCEDURE,,,,,,,,,,,,,,,,,,,,,,,
E364,SPINAL SURGICAL PROCEDURES,POSTERIOR SPINAL ARTHRODESIS AS SOLE PROCEDURE,,,,,,,,,,,,,,,,,,,,,,,
E365,SPINAL SURGICAL PROCEDURES,ANTERIOR SPINAL ARTHRODESIS FOLLOWING DECOMPRESSION,,,,,,,,,,,,,,,,,,,,,,,
E365,SPINAL SURGICAL PROCEDURES,ANTERIOR SPINAL ARTHRODESIS FOLLOWING DECOMPRESSION,,,,,,,,,,,,,,,,,,,,,,,
E366,SPINAL SURGICAL PROCEDURES,ANTERIOR SPINAL ARTHRODESIS FOLLOWING DECOMPRESSION,,,,,,,,,,,,,,,,,,,,,,,
E366,SPINAL SURGICAL PROCEDURES,ANTERIOR SPINAL ARTHRODESIS FOLLOWING DECOMPRESSION,,,,,,,,,,,,,,,,,,,,,,,
E366,SPINAL SURGICAL PROCEDURES,ANTERIOR SPINAL ARTHRODESIS WITH INSTRUMENTATION WITHOUT DECOMPRESSION,,,,,,,,,,,,,,,,,,,,,,,
E366,SPINAL SURGICAL PROCEDURES,ANTERIOR SPINAL ARTHRODESIS WITH INSTRUMENTATION WITHOUT DECOMPRESSION,,,,,,,,,,,,,,,,,,,,,,,
E366,SPINAL SURGICAL PROCEDURES,ANTERIOR SPINAL ARTHRODESIS WITH INSTRUMENTATION WITHOUT DECOMPRESSION,,,,,,,,,,,,,,,,,,,,,,,
E366,SPINAL SURGICAL PROCEDURES,ANTERIOR SPINAL ARTHRODESIS WITH INSTRUMENTATION WITHOUT DECOMPRESSION,,,,,,,,,,,,,,,,,,,,,,,
E366,SPINAL SURGICAL PROCEDURES,ANTERIOR SPINAL ARTHRODESIS WITH INSTRUMENTATION WITHOUT DECOMPRESSION,,,,,,,,,,,,,,,,,,,,,,,
E366,SPINAL SURGICAL PROCEDURES,POSTERIOR SPINAL ARTHRODESIS FOLLOWING DECOMPRESSION OR OSTEOTOMY,,,,,,,,,,,,,,,,,,,,,,,
E366,SPINAL SURGICAL PROCEDURES,POSTERIOR SPINAL ARTHRODESIS FOLLOWING DECOMPRESSION OR OSTEOTOMY,,,,,,,,,,,,,,,,,,,,,,,
E366,SPINAL SURGICAL PROCEDURES,POSTERIOR SPINAL ARTHRODESIS FOLLOWING DECOMPRESSION OR OSTEOTOMY,,,,,,,,,,,,,,,,,,,,,,,
E366,SPINAL SURGICAL PROCEDURES,POSTERIOR SPINAL ARTHRODESIS FOLLOWING DECOMPRESSION OR OSTEOTOMY,,,,,,,,,,,,,,,,,,,,,,,
E366,SPINAL SURGICAL PROCEDURES,POSTERIOR SPINAL ARTHRODESIS AS SOLE PROCEDURE,,,,,,,,,,,,,,,,,,,,,,,
E366,SPINAL SURGICAL PROCEDURES,POSTERIOR SPINAL ARTHRODESIS AS SOLE PROCEDURE,,,,,,,,,,,,,,,,,,,,,,,
E367,SPINAL SURGICAL PROCEDURES,ANTERIOR SPINAL ARTHRODESIS FOLLOWING DECOMPRESSION,,,,,,,,,,,,,,,,,,,,,,,
E368,SPINAL SURGICAL PROCEDURES,POSTERIOR SPINAL DECOMPRESSION,,,,,,,,,,,,,,,,,,,,,,,
E368,SPINAL SURGICAL PROCEDURES,POSTERIOR SPINAL DECOMPRESSION,,,,,,,,,,,,,,,,,,,,,,,
E369,SPINAL SURGICAL PROCEDURES,POSTERIOR SPINAL ARTHRODESIS FOLLOWING DECOMPRESSION OR OSTEOTOMY,,,,,,,,,,,,,,,,,,,,,,,
E370,SPINAL SURGICAL PROCEDURES,POSTERIOR SPINAL ARTHRODESIS FOLLOWING DECOMPRESSION OR OSTEOTOMY,,,,,,,,,,,,,,,,,,,,,,,
E370,SPINAL SURGICAL PROCEDURES,POSTERIOR SPINAL ARTHRODESIS FOLLOWING DECOMPRESSION OR OSTEOTOMY,,,,,,,,,,,,,,,,,,,,,,,
E371,SPINAL SURGICAL PROCEDURES,POSTERIOR SPINAL ARTHRODESIS FOLLOWING DECOMPRESSION OR OSTEOTOMY,,,,,,,,,,,,,,,,,,,,,,,
E371,SPINAL SURGICAL PROCEDURES,POSTERIOR SPINAL ARTHRODESIS FOLLOWING DECOMPRESSION OR OSTEOTOMY,,,,,,,,,,,,,,,,,,,,,,,
E371,SPINAL SURGICAL PROCEDURES,POSTERIOR SPINAL ARTHRODESIS AS SOLE PROCEDURE,,,,,,,,,,,,,,,,,,,,,,,
E372,SPINAL SURGICAL PROCEDURES,POSTERIOR SPINAL ARTHRODESIS FOLLOWING DECOMPRESSION OR OSTEOTOMY,,,,,,,,,,,,,,,,,,,,,,,
E373,SPINAL SURGICAL PROCEDURES,REVISION PROCEDURES FOR SPINAL SURGERY,,,,,,,,,,,,,,,,,,,,,,,
E374,SPINAL SURGICAL PROCEDURES,POSTERIOR SPINAL DECOMPRESSION,,,,,,,,,,,,,,,,,,,,,,,
E375,SPINAL SURGICAL PROCEDURES,REVISION PROCEDURES FOR SPINAL SURGERY,,,,,,,,,,,,,,,,,,,,,,,
E376,SPINAL SURGICAL PROCEDURES,POSTERIOR SPINAL ARTHRODESIS FOLLOWING DECOMPRESSION OR OSTEOTOMY,,,,,,,,,,,,,,,,,,,,,,,
E377,SPINAL SURGICAL PROCEDURES,POSTERIOR SPINAL ARTHRODESIS FOLLOWING DECOMPRESSION OR OSTEOTOMY,,,,,,,,,,,,,,,,,,,,,,,
E377,SPINAL SURGICAL PROCEDURES,POSTERIOR SPINAL ARTHRODESIS FOLLOWING DECOMPRESSION OR OSTEOTOMY,,,,,,,,,,,,,,,,,,,,,,,
E377,SPINAL SURGICAL PROCEDURES,POSTERIOR SPINAL ARTHRODESIS AS SOLE PROCEDURE,,,,,,,,,,,,,,,,,,,,,,,
E378,SPINAL SURGICAL PROCEDURES,POSTERIOR SPINAL ARTHRODESIS FOLLOWING DECOMPRESSION OR OSTEOTOMY,,,,,,,,,,,,,,,,,,,,,,,
E378,SPINAL SURGICAL PROCEDURES,POSTERIOR SPINAL ARTHRODESIS AS SOLE PROCEDURE,,,,,,,,,,,,,,,,,,,,,,,
E378,SPINAL SURGICAL PROCEDURES,FRACTURES OF THE SPINE,,,,,,,,,,,,,,,,,,,,,,,
E378,SPINAL SURGICAL PROCEDURES,FRACTURES OF THE SPINE,,,,,,,,,,,,,,,,,,,,,,,
E378,SPINAL SURGICAL PROCEDURES,DEFORMITIES OF THE SPINE,,,,,,,,,,,,,,,,,,,,,,,
E379,SPINAL SURGICAL PROCEDURES,POSTERIOR SPINAL ARTHRODESIS FOLLOWING DECOMPRESSION OR OSTEOTOMY,,,,,,,,,,,,,,,,,,,,,,,
E379,SPINAL SURGICAL PROCEDURES,POSTERIOR SPINAL ARTHRODESIS AS SOLE PROCEDURE,,,,,,,,,,,,,,,,,,,,,,,
E379,SPINAL SURGICAL PROCEDURES,FRACTURES OF THE SPINE,,,,,,,,,,,,,,,,,,,,,,,
E379,SPINAL SURGICAL PROCEDURES,FRACTURES OF THE SPINE,,,,,,,,,,,,,,,,,,,,,,,
E379,SPINAL SURGICAL PROCEDURES,DEFORMITIES OF THE SPINE,,,,,,,,,,,,,,,,,,,,,,,
E380,SPINAL SURGICAL PROCEDURES,POSTERIOR SPINAL DECOMPRESSION,,,,,,,,,,,,,,,,,,,,,,,
E382,SPINAL SURGICAL PROCEDURES,ANTERIOR SPINAL DECOMPRESSION,,,,,,,,,,,,,,,,,,,,,,,
E382,SPINAL SURGICAL PROCEDURES,POSTERIOR SPINAL DECOMPRESSION,,,,,,,,,,,,,,,,,,,,,,,
E382,SPINAL SURGICAL PROCEDURES,TUMOURS/INFECTIONS OF THE SPINE,,,,,,,,,,,,,,,,,,,,,,,
E382,SPINAL SURGICAL PROCEDURES,PROCEDURES INVOLVING NEURAL ELEMENTS,,,,,,,,,,,,,,,,,,,,,,,
E382,SPINAL SURGICAL PROCEDURES,MENINGOCOELE AND MYELOMENINGOCOELE,,,,,,,,,,,,,,,,,,,,,,,
E383,SPINAL SURGICAL PROCEDURES,ANTERIOR SPINAL DECOMPRESSION,,,,,,,,,,,,,,,,,,,,,,,
E383,SPINAL SURGICAL PROCEDURES,POSTERIOR SPINAL DECOMPRESSION,,,,,,,,,,,,,,,,,,,,,,,
E383,SPINAL SURGICAL PROCEDURES,FRACTURES OF THE SPINE,,,,,,,,,,,,,,,,,,,,,,,
E383,SPINAL SURGICAL PROCEDURES,FRACTURES OF THE SPINE,,,,,,,,,,,,,,,,,,,,,,,
E383,SPINAL SURGICAL PROCEDURES,TUMOURS/INFECTIONS OF THE SPINE,,,,,,,,,,,,,,,,,,,,,,,
E383,SPINAL SURGICAL PROCEDURES,DEFORMITIES OF THE SPINE,,,,,,,,,,,,,,,,,,,,,,,
E383,SPINAL SURGICAL PROCEDURES,PROCEDURES INVOLVING NEURAL ELEMENTS,,,,,,,,,,,,,,,,,,,,,,,
E383,SPINAL SURGICAL PROCEDURES,PROCEDURES INVOLVING NEURAL ELEMENTS,,,,,,,,,,,,,,,,,,,,,,,
E383,SPINAL SURGICAL PROCEDURES,PROCEDURES INVOLVING NEURAL ELEMENTS,,,,,,,,,,,,,,,,,,,,,,,
E383,SPINAL SURGICAL PROCEDURES,PROCEDURES INVOLVING NEURAL ELEMENTS,,,,,,,,,,,,,,,,,,,,,,,
E384,SPINAL SURGICAL PROCEDURES,POSTERIOR SPINAL ARTHRODESIS FOLLOWING DECOMPRESSION OR OSTEOTOMY,,,,,,,,,,,,,,,,,,,,,,,
E385,SPINAL SURGICAL PROCEDURES,POSTERIOR SPINAL DECOMPRESSION,,,,,,,,,,,,,,,,,,,,,,,
E386,SPINAL SURGICAL PROCEDURES,TUMOURS/INFECTIONS OF THE SPINE,,,,,,,,,,,,,,,,,,,,,,,
E387,SPINAL SURGICAL PROCEDURES,POSTERIOR SPINAL ARTHRODESIS FOLLOWING DECOMPRESSION OR OSTEOTOMY,,,,,,,,,,,,,,,,,,,,,,,
E387,SPINAL SURGICAL PROCEDURES,POSTERIOR SPINAL ARTHRODESIS FOLLOWING DECOMPRESSION OR OSTEOTOMY,,,,,,,,,,,,,,,,,,,,,,,
E387,SPINAL SURGICAL PROCEDURES,POSTERIOR SPINAL ARTHRODESIS AS SOLE PROCEDURE,,,,,,,,,,,,,,,,,,,,,,,
E387,SPINAL SURGICAL PROCEDURES,DEFORMITIES OF THE SPINE,,,,,,,,,,,,,,,,,,,,,,,
E388,SPINAL SURGICAL PROCEDURES,FRACTURES OF THE SPINE,,,,,,,,,,,,,,,,,,,,,,,
E389,SPINAL SURGICAL PROCEDURES,DEFORMITIES OF THE SPINE,,,,,,,,,,,,,,,,,,,,,,,
E390,SPINAL SURGICAL PROCEDURES,DEFORMITIES OF THE SPINE,,,,,,,,,,,,,,,,,,,,,,,
E391,SPINAL SURGICAL PROCEDURES,FRACTURES OF THE SPINE,,,,,,,,,,,,,,,,,,,,,,,
E392,SPINAL SURGICAL PROCEDURES,FRACTURES OF THE SPINE,,,,,,,,,,,,,,,,,,,,,,,
E393,SPINAL SURGICAL PROCEDURES,FRACTURES OF THE SPINE,,,,,,,,,,,,,,,,,,,,,,,
E394,SPINAL SURGICAL PROCEDURES,ANTERIOR SPINAL ARTHRODESIS FOLLOWING DECOMPRESSION,,,,,,,,,,,,,,,,,,,,,,,
E395,SPINAL SURGICAL PROCEDURES,FRACTURES OF THE SPINE,,,,,,,,,,,,,,,,,,,,,,,
E396,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,NERVE BLOCKS - INTERVENTIONAL PAIN INJECTIONS,,,,,,,,,,,,,,,,,,,,,,,
E396,SPINAL SURGICAL PROCEDURES,PROCEDURES INVOLVING NEURAL ELEMENTS,,,,,,,,,,,,,,,,,,,,,,,
E411,OBSTETRICS,LABOUR - DELIVERY,,,,,,,,,,,,,,,,,,,,,,,
E414,OBSTETRICS,LABOUR - DELIVERY,,,,,,,,,,,,,,,,,,,,,,,
E423,CONSULTATIONS AND VISITS,OPHTHALMOLOGY (23),,,,,,,,,,,,,,,,,,,,,,,
E424,CONSULTATIONS AND VISITS,OPHTHALMOLOGY (23),,,,,,,,,,,,,,,,,,,,,,,
E430,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,GYNAECOLOGY,,,,,,,,,,,,,,,,,,,,,,,
E431,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,GYNAECOLOGY,,,,,,,,,,,,,,,,,,,,,,,
E440,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,NERVE BLOCKS - INTERVENTIONAL PAIN INJECTIONS,,,,,,,,,,,,,,,,,,,,,,,
E441,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,NERVE BLOCKS - INTERVENTIONAL PAIN INJECTIONS,,,,,,,,,,,,,,,,,,,,,,,
E442,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,NERVE BLOCKS - INTERVENTIONAL PAIN INJECTIONS,,,,,,,,,,,,,,,,,,,,,,,
E443,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,NERVE BLOCKS - INTERVENTIONAL PAIN INJECTIONS,,,,,,,,,,,,,,,,,,,,,,,
E444,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,NERVE BLOCKS - INTERVENTIONAL PAIN INJECTIONS,,,,,,,,,,,,,,,,,,,,,,,
E445,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,NERVE BLOCKS - INTERVENTIONAL PAIN INJECTIONS,,,,,,,,,,,,,,,,,,,,,,,
E446,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,INJECTIONS OR INFUSIONS,,,,,,,,,,,,,,,,,,,,,,,
E450,PULMONARY FUNCTION STUDIES,Not applicable,,,,,,,,,,,,,,,,,,,,,,,
E451,PULMONARY FUNCTION STUDIES,Not applicable,,,,,,,,,,,,,,,,,,,,,,,
E475,DIAGNOSTIC ULTRASOUND,MISCELLANEOUS,,,,,,,,,,,,,,,,,,,,,,,
E476,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,KNEE,,,,,,,,,,,,,,,,,,,,,,,
E477,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,FOOT AND ANKLE,,,,,,,,,,,,,,,,,,,,,,,
E478,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,HAND AND WRIST,,,,,,,,,,,,,,,,,,,,,,,
E478,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,ELBOW AND FOREARM,,,,,,,,,,,,,,,,,,,,,,,
E478,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,"SHOULDER, ARM AND CHEST",,,,,,,,,,,,,,,,,,,,,,,
E478,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,KNEE,,,,,,,,,,,,,,,,,,,,,,,
E478,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,FOOT AND ANKLE,,,,,,,,,,,,,,,,,,,,,,,
E479,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,HAND AND WRIST,,,,,,,,,,,,,,,,,,,,,,,
E480,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,HAND AND WRIST,,,,,,,,,,,,,,,,,,,,,,,
E481,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,ELBOW AND FOREARM,,,,,,,,,,,,,,,,,,,,,,,
E481,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,FOOT AND ANKLE,,,,,,,,,,,,,,,,,,,,,,,
E482,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,HAND AND WRIST,,,,,,,,,,,,,,,,,,,,,,,
E482,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,ELBOW AND FOREARM,,,,,,,,,,,,,,,,,,,,,,,
E482,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,PELVIS AND HIP,,,,,,,,,,,,,,,,,,,,,,,
E483,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,HAND AND WRIST,,,,,,,,,,,,,,,,,,,,,,,
E483,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,ELBOW AND FOREARM,,,,,,,,,,,,,,,,,,,,,,,
E483,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,FOOT AND ANKLE,,,,,,,,,,,,,,,,,,,,,,,
E484,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,"SHOULDER, ARM AND CHEST",,,,,,,,,,,,,,,,,,,,,,,
E485,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,"SHOULDER, ARM AND CHEST",,,,,,,,,,,,,,,,,,,,,,,
E487,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,PELVIS AND HIP,,,,,,,,,,,,,,,,,,,,,,,
E488,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,PELVIS AND HIP,,,,,,,,,,,,,,,,,,,,,,,
E489,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,KNEE,,,,,,,,,,,,,,,,,,,,,,,
E490,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,PELVIS AND HIP,,,,,,,,,,,,,,,,,,,,,,,
E491,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,KNEE,,,,,,,,,,,,,,,,,,,,,,,
E492,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,KNEE,,,,,,,,,,,,,,,,,,,,,,,
E493,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,KNEE,,,,,,,,,,,,,,,,,,,,,,,
E494,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,KNEE,,,,,,,,,,,,,,,,,,,,,,,
E495,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,KNEE,,,,,,,,,,,,,,,,,,,,,,,
E496,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,KNEE,,,,,,,,,,,,,,,,,,,,,,,
E497,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,HAND AND WRIST,,,,,,,,,,,,,,,,,,,,,,,
E498,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,KNEE,,,,,,,,,,,,,,,,,,,,,,,
E499,OBSTETRICS,LABOUR - DELIVERY,,,,,,,,,,,,,,,,,,,,,,,
E500,OBSTETRICS,LABOUR - DELIVERY,,,,,,,,,,,,,,,,,,,,,,,
E501,DIGESTIVE SYSTEM SURGICAL PROCEDURES,LIPS,,,,,,,,,,,,,,,,,,,,,,,
E502,OBSTETRICS,LABOUR - DELIVERY,,,,,,,,,,,,,,,,,,,,,,,
E503,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,HAND AND WRIST,,,,,,,,,,,,,,,,,,,,,,,
E504,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,HAND AND WRIST,,,,,,,,,,,,,,,,,,,,,,,
E505,INTEGUMENTARY SYSTEM SURGICAL PROCEDURES,OPERATIONS OF THE BREAST,,,,,,,,,,,,,,,,,,,,,,,
E505,INTEGUMENTARY SYSTEM SURGICAL PROCEDURES,OPERATIONS OF THE BREAST,,,,,,,,,,,,,,,,,,,,,,,
E505,INTEGUMENTARY SYSTEM SURGICAL PROCEDURES,OPERATIONS OF THE BREAST,,,,,,,,,,,,,,,,,,,,,,,
E505,INTEGUMENTARY SYSTEM SURGICAL PROCEDURES,OPERATIONS OF THE BREAST,,,,,,,,,,,,,,,,,,,,,,,
E508,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,FOOT AND ANKLE,,,,,,,,,,,,,,,,,,,,,,,
E509,CARDIOVASCULAR SURGICAL PROCEDURES,ARTERIES,,,,,,,,,,,,,,,,,,,,,,,
E510,CARDIOVASCULAR SURGICAL PROCEDURES,ARTERIES,,,,,,,,,,,,,,,,,,,,,,,
E511,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,FOOT AND ANKLE,,,,,,,,,,,,,,,,,,,,,,,
E512,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,FOOT AND ANKLE,,,,,,,,,,,,,,,,,,,,,,,
E513,INTEGUMENTARY SYSTEM SURGICAL PROCEDURES,OPERATIONS OF THE BREAST,,,,,,,,,,,,,,,,,,,,,,,
E514,INTEGUMENTARY SYSTEM SURGICAL PROCEDURES,OPERATIONS OF THE BREAST,,,,,,,,,,,,,,,,,,,,,,,
E515,INTEGUMENTARY SYSTEM SURGICAL PROCEDURES,SKIN AND SUBCUTANEOUS TISSUE,,,,,,,,,,,,,,,,,,,,,,,
E518,DIGESTIVE SYSTEM SURGICAL PROCEDURES,INTESTINES (EXCEPT RECTUM),,,,,,,,,,,,,,,,,,,,,,,
E519,DIGESTIVE SYSTEM SURGICAL PROCEDURES,INTESTINES (EXCEPT RECTUM),,,,,,,,,,,,,,,,,,,,,,,
E520,DIGESTIVE SYSTEM SURGICAL PROCEDURES,INTESTINES (EXCEPT RECTUM),,,,,,,,,,,,,,,,,,,,,,,
E521,CARDIOVASCULAR SURGICAL PROCEDURES,HEART AND PERICARDIUM,,,,,,,,,,,,,,,,,,,,,,,
E523,INTEGUMENTARY SYSTEM SURGICAL PROCEDURES,SKIN AND SUBCUTANEOUS TISSUE,,,,,,,,,,,,,,,,,,,,,,,
E524,INTEGUMENTARY SYSTEM SURGICAL PROCEDURES,SKIN AND SUBCUTANEOUS TISSUE,,,,,,,,,,,,,,,,,,,,,,,
E525,INTEGUMENTARY SYSTEM SURGICAL PROCEDURES,OPERATIONS OF THE BREAST,,,,,,,,,,,,,,,,,,,,,,,
E525,INTEGUMENTARY SYSTEM SURGICAL PROCEDURES,OPERATIONS OF THE BREAST,,,,,,,,,,,,,,,,,,,,,,,
E525,INTEGUMENTARY SYSTEM SURGICAL PROCEDURES,OPERATIONS OF THE BREAST,,,,,,,,,,,,,,,,,,,,,,,
E527,INTEGUMENTARY SYSTEM SURGICAL PROCEDURES,SKIN AND SUBCUTANEOUS TISSUE,,,,,,,,,,,,,,,,,,,,,,,
E528,INTEGUMENTARY SYSTEM SURGICAL PROCEDURES,SKIN AND SUBCUTANEOUS TISSUE,,,,,,,,,,,,,,,,,,,,,,,
E529,INTEGUMENTARY SYSTEM SURGICAL PROCEDURES,OPERATIONS OF THE BREAST,,,,,,,,,,,,,,,,,,,,,,,
E530,INTEGUMENTARY SYSTEM SURGICAL PROCEDURES,SKIN AND SUBCUTANEOUS TISSUE,,,,,,,,,,,,,,,,,,,,,,,
E531,INTEGUMENTARY SYSTEM SURGICAL PROCEDURES,SKIN AND SUBCUTANEOUS TISSUE,,,,,,,,,,,,,,,,,,,,,,,
E532,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,FIBULA AND TIBIA,,,,,,,,,,,,,,,,,,,,,,,
E537,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,HAND AND WRIST,,,,,,,,,,,,,,,,,,,,,,,
E538,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,FOOT AND ANKLE,,,,,,,,,,,,,,,,,,,,,,,
E539,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,FOOT AND ANKLE,,,,,,,,,,,,,,,,,,,,,,,
E540,INTEGUMENTARY SYSTEM SURGICAL PROCEDURES,SKIN AND SUBCUTANEOUS TISSUE,,,,,,,,,,,,,,,,,,,,,,,
E540,INTEGUMENTARY SYSTEM SURGICAL PROCEDURES,SKIN AND SUBCUTANEOUS TISSUE,,,,,,,,,,,,,,,,,,,,,,,
E541,INTEGUMENTARY SYSTEM SURGICAL PROCEDURES,SKIN AND SUBCUTANEOUS TISSUE,,,,,,,,,,,,,,,,,,,,,,,
E542,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,GYNAECOLOGY,,,,,,,,,,,,,,,,,,,,,,,
E542,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,INJECTIONS OR INFUSIONS,,,,,,,,,,,,,,,,,,,,,,,
E542,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,INJECTIONS OR INFUSIONS,,,,,,,,,,,,,,,,,,,,,,,
E542,INTEGUMENTARY SYSTEM SURGICAL PROCEDURES,SKIN AND SUBCUTANEOUS TISSUE,,,,,,,,,,,,,,,,,,,,,,,
E542,INTEGUMENTARY SYSTEM SURGICAL PROCEDURES,SKIN AND SUBCUTANEOUS TISSUE,,,,,,,,,,,,,,,,,,,,,,,
