Billing Code,Category,Sub Category,Sub Category 2,Description,Charge $(provider),Charge T,Charge P,Charge P1,Charge(H)
C283,,,,,82.5,,,,
C285,,,,Consultation,163,,,,
C286,,,,Limited consultation,108.95,,,,
C288,,,,Concurrent care,30.1,,,,
C311,,,,Complex medical specific re-assessment,73.95,,,,
C312,,,,,34.1,,,,
C313,,,,Medical specific assessment,77.2,,,,
C314,,,,,67.8,,,,
C315,,,,Consultation,208.75,,,,
C316,,,,Repeat consultation,95.25,,,,
C317,,,,,34.1,,,,
C318,,,,Concurrent care,34.1,,,,
C319,,,,,34.1,,,,
C325,,,,Limited consultation,105.25,,,,
C330,,,,,89.5,,,,
C332,,,,,199.7,,,,
C335,,,,Consultation - subject to the same conditions as A335,50,,,,
C341,,,,Complex medical specific re-assessment,71.4,,,,
C342,,,,,34.1,,,,
C343,,,,Medical specific assessment,80.4,,,,
C344,,,,,61.7,,,,
C345,,,,Consultation,158.05,,,,
C346,,,,Repeat consultation,102.9,,,,
C347,,,,,34.1,,,,
C348,,,,Concurrent care,34.1,,,,
C349,,,,,34.1,,,,
C352,,,,,31.6,,,,
C353,,,,Specific assessment*,46.8,,,,
C354,,,,Specific re-assessment,26.7,,,,
C355,,,,Consultation*,84.7,,,,
C356,,,,Repeat consultation*,59,,,,
C357,,,,,31.6,,,,
C358,,,,Concurrent care,31.6,,,,
C359,,,,,31.6,,,,
C365,,,,,223.2,,,,
C375,,,,Limited consultation,105.25,,,,
C384,,,,,200,,,,
C385,,,,Limited consultation,87.7,,,,
C395,,,,Limited consultation,105.25,,,,
C400,,,,,240.55,,,,
C405,,,,Limited consultation,84.2,,,,
C411,,,,Complex medical specific re-assessment,70.9,,,,
C412,,,,,34.1,,,,
C413,,,,Medical specific assessment,80.35,,,,
C414,,,,,61.25,,,,
C415,,,,Consultation,157,,,,
C416,,,,Repeat consultation,105.25,,,,
C417,,,,,34.1,,,,
C418,,,,Concurrent care,34.1,,,,
C419,,,,,34.1,,,,
C425,,,,,310.45,,,,
C435,,,,Limited consultation,105.25,,,,
C441,,,,Complex medical specific re-assessment,70.9,,,,
C442,,,,,34.1,,,,
C443,,,,Medical specific assessment,79.85,,,,
C444,,,,,61.25,,,,
C445,,,,Consultation,166.5,,,,
C446,,,,Repeat consultation,105.25,,,,
C447,,,,,34.1,,,,
C448,,,,Concurrent care,34.1,,,,
C449,,,,,34.1,,,,
C460,,,,,310.45,,,,
C461,,,,Complex medical specific re-assessment,83.85,,,,
C462,,,,,34.1,,,,
C463,,,,Medical specific assessment,94.4,,,,
C464,,,,,72.45,,,,
C465,,,,Consultation,181.65,,,,
C466,,,,Repeat consultation,109.4,,,,
C467,,,,,34.1,,,,
C468,,,,Concurrent care,34.1,,,,
C469,,,,,34.1,,,,
C470,,,,,310.45,,,,
C471,,,,Complex medical specific re-assessment,73.75,,,,
C472,,,,,34.1,,,,
C473,,,,Medical specific assessment,84.65,,,,
C474,,,,,63.7,,,,
C475,,,,Consultation,169.65,,,,
C476,,,,Repeat consultation,105.25,,,,
C477,,,,,34.1,,,,
C478,,,,Concurrent care,34.1,,,,
C479,,,,,34.1,,,,
C480,,,,,92.2,,,,
C481,,,,Complex medical specific re-assessment,72.65,,,,
C482,,,,,34.1,,,,
C483,,,,Medical specific assessment,81.7,,,,
C484,,,,,62.6,,,,
C485,,,,Consultation,170.1,,,,
C486,,,,Repeat consultation,109.35,,,,
C487,,,,,34.1,,,,
C488,,,,Concurrent care,34.1,,,,
C489,,,,,34.1,,,,
C510,,,,,93.7,,,,
C511,,,,,102.55,,,,
C515,,,,Limited consultation,95.25,,,,
C525,,,,Limited consultation,105.25,,,,
C545,,,,Limited consultation,105.25,,,,
C565,,,,Limited consultation,91.35,,,,
C570,,,,,89.85,,,,
C575,,,,Limited consultation,105.25,,,,
C585,,,,,73.3,,,,
C586,,,,Repeat consultation,71.2,,,,
C590,,,,,310.45,,,,
C595,,,,Limited consultation,109.35,,,,
C600,CONSULTATIONS AND VISITS,CARDIOLOGY (60),,,310.45,,,,
C601,CONSULTATIONS AND VISITS,CARDIOLOGY (60),,,70.9,,,,
C602,CONSULTATIONS AND VISITS,CARDIOLOGY (60),,,34.1,,,,
C603,CONSULTATIONS AND VISITS,CARDIOLOGY (60),,,81.55,,,,
C604,CONSULTATIONS AND VISITS,CARDIOLOGY (60),,,61.25,,,,
C605,CONSULTATIONS AND VISITS,CARDIOLOGY (60),,Consultation,161.65,,,,
C606,CONSULTATIONS AND VISITS,CARDIOLOGY (60),,Repeat consultation,105.25,,,,
C607,CONSULTATIONS AND VISITS,CARDIOLOGY (60),,,34.1,,,,
C608,CONSULTATIONS AND VISITS,CARDIOLOGY (60),,Concurrent care,34.1,,,,
C609,CONSULTATIONS AND VISITS,CARDIOLOGY (60),,,34.1,,,,
C611,,,,Complex medical specific re-assessment,76.2,,,,
C612,,,,,34.1,,,,
C613,,,,Medical specific assessment,85.8,,,,
C614,,,,,65.85,,,,
C615,,,,Consultation,172,,,,
C616,,,,Repeat consultation,105.25,,,,
C617,,,,,34.1,,,,
C618,,,,Concurrent care,34.1,,,,
C619,,,,,34.1,,,,
C621,,,,Complex medical specific re-assessment,71.8,,,,
C622,,,,,34.1,,,,
C623,,,,Medical specific assessment,80.9,,,,
C624,,,,Medical specific re-assessment,62.05,,,,
C625,,,,Consultation,159,,,,
C626,,,,Repeat consultation,105.25,,,,
C627,,,,,34.1,,,,
C628,,,,Concurrent care,34.1,,,,
C629,,,,,34.1,,,,
C635,,,,Consultation,157,,,,
C636,,,,Repeat consultation,70,,,,
C642,,,,,31,,,,
C643,,,,Specific assessment,44.4,,,,
C644,,,,Specific re-assessment,25.95,,,,
C645,,,,Consultation,98.55,,,,
C646,,,,Repeat consultation,60,,,,
C647,,,,,31,,,,
C648,,,,Concurrent care,31,,,,
C649,,,,,31,,,,
C655,,,,Limited consultation,105.25,,,,
C661,,,,,74.75,,,,
C662,,,,,401.3,,,,
C665,,,,,100.55,,,,
C667,,,,,401.3,,,,
C675,CONSULTATIONS AND VISITS,CARDIOLOGY (60),,Limited consultation,105.25,,,,
C680,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,144.75,,,,
C682,,,,,401.3,,,,
C695,,,,,414.35,,,,
C710,,,,,310.45,,,,
C713,,,,Medical specific assessment,87.6,,,,
C715,,,,Consultation,175.55,,,,
C735,,,,,67.4,,,,
C745,,,,Limited consultation,102.9,,,,
C760,,,,,90.75,,,,
C765,CONSULTATIONS AND VISITS,CARDIOLOGY (60),,Consultation,165.5,,,,
C770,,,,,401.3,,,,
C771,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,20.6,,,,
C772,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,20.6,,,,
C775,,,,,310.45,,,,
C777,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,37.95,,,,
C795,,,,,310.45,,,,
C800,,,,,167.35,,,,
C801,,,,,300.7,,,,
C802,,,,,401.3,,,,
C813,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,111.7,,,,
C815,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,186.95,,,,
C816,CONSULTATIONS AND VISITS,ANAESTHESIA (01),,,106.8,,,,
C835,,,,,310.45,,,,
C845,,,,Limited consultation,105.25,,,,
C865,,,,Limited consultation,105.25,,,,
C882,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,34.1,,,,
C895,,,,Consultation,259.9,,,,
C903,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,65.05,,,,
C904,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Pre-dental/pre-operative assessment,33.7,,,,
C905,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Limited consultation,74.25,,,,
C911,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,150.7,,,,
C912,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,226.05,,,,
C915,,,,Limited consultation,108.95,,,,
C930,,,,,150,,,,
C933,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,79.9,,,,
C935,,,,,163.2,,,,
C945,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,159.2,,,,
C960,,,,,36.4,,,,
C961,,,,,36.4,,,,
C962,,,,,36.4,,,,
C963,,,,,36.4,,,,
C964,,,,,36.4,,,,
C982,CONSULTATIONS AND VISITS,CARDIOLOGY (60),,Palliative care (see General Preamble GP50),34.1,,,,
C983B,,,,,85.6,,,,
C985C,,,,,75,,,,
C986,,,,,75,,,,
C987,,,,,75,,,,
C988B,,,,,76.4,,,,
C989,,,,,76.4,,,,
C990,,,,,20,,,,
C991,,,,,20,,,,
C992,,,,,40,,,,
C993,,,,,40,,,,
C994,,,,,60,,,,
C995,,,,,60,,,,
C996,,,,,100,,,,
C997,,,,,100,,,,
C998B,,,,,67.05,,,,
C998C,,,,,60,,,,
C999B,,,,,117.65,,,,
C999C,,,,,100,,,,
D001,,,,,57.5,,,,
D003,,,,,196.5,,,,
D004,,,,,57.5,,,,
D006,,,,,181.85,,,,
D007,,,,,128.05,,,,
D008,,,,,241.3,,,,
D009,,,,,84.45,,,,
D010,,,,,252.45,,,,
D011,,,,,193,,,,
D012,,,,,39,,,,
D014,,,,,67.8,,,,
D015,,,,,49.2,,,,
D016,,,,,111.4,,,,
D017,,,,,323.85,,,,
D023,,,,,231.1,,,,
D025,,,,,134.55,,,,
D026,,,,,147.6,,,,
D027,,,,,57.5,,,,
D028,,,,,388.2,,,,
D029,,,,,151.25,,,,
D030,,,,,57.5,,,,
D031,,,,,97.35,,,,
D032,,,,,163.35,,,,
D033,,,,,147.6,,,,
D034,,,,,298.55,,,,
D035,,,,,111.35,,,,
D036,,,,,252.45,,,,
D038,,,,,207.9,,,,
D039,,,,,309,,,,
D040,,,,,62.2,,,,
D041,,,,,290.55,,,,
D042,,,,,268.25,,,,
D043,,,,,406.45,,,,
D046,,,,,967.9,,,,
D047,,,,,1451.45,,,,
D052,,,,,612.45,,,,
D059,,,,,428.5,,,,
D060,,,,,593,,,,
D061,,,,,193,,,,
D062,,,,,51.65,,,,
D063,,,,,256.4,,,,
E001C,,,,,,,,,
E002C,,,,,,,,,
E003,,,,,,,,,
E005B,,,,,,,,,
E005C,,,,,,,,,
E006A,,,,,,,,,
E006B,,,,,,,,,
E006C,,,,,,,,,
E007C,,,,,,,,,
E009C,,,,,,,,,
E010C,,,,,,,,,
E011C,,,,,,,,,
E012C,,,,,,,,,
E013C,,,,,,,,,
E014C,,,,,,,,,
E016C,,,,,,,,,
E017C,,,,,,,,,
E018C,,,,,,,,,
E019C,,,,,,,,,
E020C,,,,,,,,,
E021C,,,,,,,,,
E022C,,,,,,,,,
E023C,,,,,,,,,
E024C,,,,,,,,,
E025C,,,,,,,,,
E030C,,,,,,,,,
E031C,,,,,,,,,
E032C,,,,,,,,,
E041,,,,,81.55,,,,
E048,,,,,108.75,,,,
E049,,,,,87.2,,,,
E050,,,,,77.05,,,,
E051,,,,,245.9,,,,
E052,,,,,259.85,,,,
E053,,,,,94.6,,,,
E054,,,,,236.1,,,,
E055,,,,,94.6,,,,
E056,,,,,91.9,,,,
E057,,,,,,,,,
E058,,,,,,,,,
E059,,,,,,,,,
E060,,,,,,,,,
E069,,,,,134.75,,,,
E077,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,10.25,,,,
E078,,,,,,,,,
E079,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,15.55,,,,
E080,,,,,25.25,,,,
E082,,,,,,,,,
E083,,,,,,,,,
E084,,,,,,,,,
E088,,,,,,,,,
E090,,,,,260.8,,,,
E098,,,,,,,,,
E100C,,,,,,,,,
E101B,,,,,,,,,
E102,,,,,542,,,,
E103,,,,,542,,,,
E104,,,,,542,,,,
E105,,,,,424.35,,,,
E106,,,,,640,,,,
E107,,,,,496,,,,
E108,,,,,131.25,,,,
E109,,,,,677.5,,,,
E117,,,,,308.3,,,,
E118,,,,,308.3,,,,
E119,,,,,542,,,,
E121,,,,,740,,,,
E122,,,,,590,,,,
E123,,,,,161.75,,,,
E124,,,,,740,,,,
E125,,,,,750,,,,
E126,,,,,1245,,,,
E127,,,,,166.45,,,,
E128,,,,,496,,,,
E130,,,,,308.3,,,,
E131,,,,,161.75,,,,
E132,,,,,550,,,,
E133,,,,,182.75,,,,
E134,,,,,205.55,,,,
E135,,,,,505.45,,,,
E136,,,,,290,,,,
E137,,,,,161.75,,,,
E138,,,,,450,,,,
E139,,,,,161.75,,,,
E140,,,,,397.75,,,,
E141,,,,,505.45,,,,
E142,,,,,830,,,,
E143,,,,,450,,,,
E144,,,,,450,,,,
E145,,,,,350,,,,
E146,,,,,400,,,,
E148,,,,,720,,,,
E149,,,,,90,,,,
E150,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,44,,,,
E151,,,,,282.65,,,,
E152,,,,,700,,,,
E153,,,,,840,,,,
E154,,,,,182.75,,,,
E155,,,,,205,,,,
E156,,,,,350,,,,
E157,,,,,550,,,,
E160,,,,,190.3,,,,
E161,,,,,250,,,,
E163,,,,,514.8,,,,
E164,,,,,350,,,,
E165,,,,,590,,,,
E166,,,,,450,,,,
E167,,,,,640,,,,
E168,,,,,308.3,,,,
E169,,,,,542,,,,
E170,,,,,575.85,,,,
E171,,,,,1005,,,,
E172,,,,,200,,,,
E173,,,,,594.7,,,,
E174,,,,,667,,,,
E175,,,,,20,,,,
E176,,,,,325,,,,
E177,,,,,321.6,,,,
E178,,,,,222.65,,,,
E179,,,,,296.9,,,,
E180,,,,,411.2,,,,
E181,,,,,640,,,,
E182,,,,,600,,,,
E183,,,,,600,,,,
E184,,,,,543.65,,,,
E185,,,,,525.15,,,,
E186,,,,,90,,,,
E187,,,,,90,,,,
E190,,,,,150,,,,
E191,,,,,161.75,,,,
E192,,,,,313.15,,,,
E193,,,,,393,,,,
E194,,,,,289,,,,
E195,,,,,241.7,,,,
E196,,,,,290,,,,
E197,,,,,310,,,,
E198,,,,,300,,,,
E199,,,,,225,,,,
E200,,,,,82.8,,,,
E201,,,,,205.55,,,,
E202,,,,,200,,,,
E205,,,,,355,,,,
E206,,,,,175,,,,
E207,,,,,453,,,,
E208,,,,,225,,,,
E210,,,,,100,,,,
E211,,,,,288.35,,,,
E212,,,,,210,,,,
E213,,,,,262.5,,,,
E214,,,,,729,,,,
E215,,,,,496,,,,
E216,,,,,350,,,,
E217,,,,,411.2,,,,
E218,,,,,542,,,,
E219,,,,,250,,,,
E221,,,,,329.3,,,,
E222,,,,,290,,,,
E223,,,,,484.35,,,,
E224,,,,,108.45,,,,
E225,,,,,484.35,,,,
E226,,,,,108.45,,,,
E227,,,,,514.8,,,,
E228,,,,,535.8,,,,
E229,,,,,535.8,,,,
E230,,,,,257.9,,,,
E231,,,,,267.35,,,,
E232,,,,,412.05,,,,
E233,,,,,153.25,,,,
E234,,,,,51.45,,,,
E235,,,,,107.5,,,,
E236,,,,,255,,,,
E300,,,,,248.05,,,,
E301,,,,,355.35,,,,
E302,,,,,202.35,,,,
E303,,,,,202.35,,,,
E304,,,,,619.35,,,,
E305,,,,,155.3,,,,
E306,,,,,291.5,,,,
E307,,,,,219.6,,,,
E308,,,,,345.15,,,,
E309,,,,,208.05,,,,
E310,,,,,247.35,,,,
E311,,,,,243.35,,,,
E312,,,,,355.4,,,,
E313,,,,,362.55,,,,
E314,,,,,297.25,,,,
E315,,,,,674,,,,
E316,,,,,395.05,,,,
E317,,,,,139.95,,,,
E318,,,,,92.4,,,,
E319,,,,,345.3,,,,
E320,,,,,345.15,,,,
E321,,,,,612.7,,,,
E322,,,,,627.1,,,,
E323,,,,,209.05,,,,
E325,,,,,642.45,,,,
E326,,,,,987.65,,,,
E327,,,,,252.15,,,,
E328,,,,,288.5,,,,
E329,,,,,370.1,,,,
E331,,,,,673.65,,,,
E332,,,,,548.45,,,,
E333,,,,,406.55,,,,
E335,,,,,637.15,,,,
E336,,,,,345.15,,,,
E337,,,,,468.85,,,,
E339,,,,,661.55,,,,
E341,,,,,737.3,,,,
E345,,,,,1379.1,,,,
E346,,,,,345.15,,,,
E360,,,,,306,,,,
E361,,,,,255,,,,
E362,,,,,153,,,,
E363,,,,,357,,,,
E364,,,,,102,,,,
E365,,,,,765,,,,
E366,,,,,153,,,,
E367,,,,,255,,,,
E368,,,,,306,,,,
E369,,,,,255,,,,
E370,,,,,867,,,,
E371,,,,,816,,,,
E372,,,,,510,,,,
E373,,,,,,,,,
E374,,,,,357,,,,
E375,,,,,,,,,
E376,,,,,255,,,,
E377,,,,,255,,,,
E378,,,,,510,,,,
E379,,,,,510,,,,
E380,,,,,357,,,,
E382,,,,,244.8,,,,
E383,,,,,255,,,,
E384,,,,,1020,,,,
E385,,,,,71.4,,,,
E386,,,,,,,,,
E387,,,,,153,,,,
E388,,,,,204,,,,
E389,,,,,102,,,,
E390,,,,,255,,,,
E391,,,,,252.95,,,,
E392,,,,,510,,,,
E393,,,,,510,,,,
E394,,,,,765,,,,
E395,,,,,306,,,,
E396,,,,,71.4,,,,
E400B,,,,,,,,,
E400C,,,,,,,,,
E401B,,,,,,,,,
E401C,,,,,,,,,
E402,,,,,,,,,
E403,,,,,,,,,
E406,,,,,60,,,,
E407,,,,,75,,,,
E408,,,,,100,,,,
E409,,,,,,,,,
E410,,,,,,,,,
E411,,,,,,,,,
E412,,,,,,,,,
E413,,,,,,,,,
E414,,,,,62.05,,,,
E420,,,,,,,,,
E423,,,,,25,,,,
E424,,,,,50,,,,
E430,,,,,11.95,,,,
E431,,,,,11.95,,,,
E440,,,,,30,,,,
E441,,,,,16.6,,,,
E442,,,,,20,,,,
E443,,,,,80,,,,
E444,,,,,,,,,
E445,,,,,,,,,
E446,,,,,30,,,,
E450,,,,,,13.3,8.05,,
E451,,,,,,18.1,25.05,,
E475,,,,,,,25,,
E476,,,,,192,,,,
E477,,,,,192,,,,
E478,,,,,251.55,,,,
E479,,,,,192,,,,
E480,,,,,350.65,,,,
E481,,,,,500,,,,
E482,,,,,251.55,,,,
E483,,,,,326.55,,,,
E484,,,,,336.65,,,,
E485,,,,,240.5,,,,
E487,,,,,240,,,,
E488,,,,,350,,,,
E489,,,,,250,,,,
E490,,,,,500,,,,
E491,,,,,161.45,,,,
E492,,,,,231.3,,,,
E493,,,,,251.55,,,,
E494,,,,,299,,,,
E495,,,,,240.45,,,,
E496,,,,,336.65,,,,
E497,,,,,526.4,,,,
E498,,,,,299,,,,
E499,,,,,397.75,,,,
E500,,,,,148.6,,,,
E501,,,,,304.3,,,,
E502,,,,,51,,,,
E503,,,,,26.85,,,,
E504,,,,,22.2,,,,
E505,,,,,178.05,,,,
E508,,,,,85,,,,
E509,,,,,805.65,,,,
E510,,,,,838.15,,,,
E511,,,,,100,,,,
E512,,,,,100,,,,
E513,,,,,297.5,,,,
E514,,,,,200,,,,
E515,,,,,,,,,
E518,,,,,77.5,,,,
E519,,,,,77.5,,,,
E520,,,,,77.5,,,,
E521,,,,,200,,,,
E523,,,,,321,,,,
E524,,,,,273.45,,,,
E525,,,,,48.05,,,,
E527,,,,,58.95,,,,
E528,,,,,258.5,,,,
E529,,,,,102.45,,,,
E530,,,,,50.4,,,,
E531,,,,,,,,,
E532,,,,,,,,,
E537,,,,,165.2,,,,
E538,,,,,38,,,,
E539,,,,,117.85,,,,
E540,,,,,,,,,
E541,,,,,11.55,,,,
E542,,,,,11.55,,,,
E543,,,,,30.6,,,,
E544,,,,,,,,,
E545,,,,,11.55,,,,
E546,,,,,388.75,,,,
E547,,,,,59.4,,,,
E550,,,,,63.15,,,,
E551,,,,,86.3,,,,
E552,,,,,58.45,,,,
E553,,,,,25.15,,,,
E554,,,,,175,,,,
E555,,,,,,,,,
E556,,,,,,,,,
E557,,,,,154,,,,
E558,,,,,22.25,,,,
E559,,,,,142.9,,,,
E560,,,,,12.05,,,,
E561,,,,,14.9,,,,
E564,,,,,,,,,
E569,,,,,,,,,
E571,,,,,148.75,,,,
E575,,,,,41.7,,,,
E576,,,,,10.25,,,,
E577,,,,,10.25,,,,
E578,,,,,10.25,,,,
E579,,,,,10.25,,,,
E580,,,,,70.95,,,,
E581,,,,,128.95,,,,
E582,,,,,32.2,,,,
E583,,,,,94.6,,,,
E584,,,,,11.15,,,,
E585,,,,,47.3,,,,
E586,,,,,,,,,
E587,,,,,41.7,,,,
E588,,,,,256.4,,,,
E589,,,,,101.25,,,,
E590,,,,,76.1,,,,
E591,,,,,158.65,,,,
E592,,,,,133.05,,,,
E593,,,,,194,,,,
E594,,,,,41.7,,,,
E596,,,,,41.7,,,,
E597,,,,,87.05,,,,
E598,,,,,94.6,,,,
E599,,,,,87.2,,,,
E600,,,,,33.6,,,,
E601,,,,,57.5,,,,
E602,,,,,177.95,,,,
E603,,,,,50.9,,,,
E604,,,,,55.6,,,,
E605,,,,,55.6,,,,
E607,,,,,152.3,,,,
E608,,,,,84.15,,,,
E609,,,,,121.7,,,,
E610,,,,,263.8,,,,
E611,,,,,145,,,,
E612,,,,,338.35,,,,
E613,,,,,500,,,,
E614,,,,,162.45,,,,
E615,,,,,250,,,,
E616,,,,,142.1,,,,
E617,,,,,78.8,,,,
E618,,,,,121.85,,,,
E619,,,,,162.45,,,,
E620,,,,,78.8,,,,
E621,,,,,45.85,,,,
E622,,,,,79.4,,,,
E623,,,,,415.15,,,,
E624,,,,,111.2,,,,
E625,,,,,142.2,,,,
E626,,,,,174.35,,,,
E627,,,,,400,,,,
E628,,,,,194.5,,,,
E629,,,,,137.05,,,,
E630,,,,,137.05,,,,
E631,,,,,314.2,,,,
E632,,,,,68.4,,,,
E633,,,,,44.55,,,,
E634,,,,,52,,,,
E635,,,,,67.2,,,,
E636,,,,,50,,,,
E637,,,,,76.45,,,,
E638,,,,,81.9,,,,
E639,,,,,78.5,,,,
E640,,,,,179.55,,,,
E641,,,,,137.05,,,,
E642,,,,,119.2,,,,
E643,,,,,121.65,,,,
E644,,,,,400,,,,
E645,,,,,371,,,,
E646,,,,,187.8,,,,
E647,,,,,264.7,,,,
E648,,,,,135.8,,,,
E649,,,,,112.45,,,,
E650,,,,,371,,,,
E651,,,,,202.05,,,,
E652,,,,,187.85,,,,
E653,,,,,127.15,,,,
E654,,,,,188.85,,,,
E655,,,,,348.7,,,,
E656,,,,,288.85,,,,
E657,,,,,446.5,,,,
E658,,,,,278.1,,,,
E659,,,,,169,,,,
E660,,,,,185.15,,,,
E661,,,,,185.15,,,,
E662,,,,,49.75,,,,
E663,,,,,183,,,,
E664,,,,,127.05,,,,
E665,,,,,419,,,,
E666,,,,,52.3,,,,
E667,,,,,266.6,,,,
E668,,,,,93.8,,,,
E669,,,,,102.75,,,,
E670,,,,,224.7,,,,
E671,,,,,543.6,,,,
E672,,,,,133.4,,,,
E673,,,,,62.05,,,,
E674,,,,,142.4,,,,
E675,,,,,73.5,,,,
E676A,,,,,,,,,
E676B,,,,,,,,,
E677,,,,,104,,,,
E678,,,,,104,,,,
E679,,,,,124.1,,,,
E680,,,,,82.35,,,,
E681,,,,,43.6,,,,
E682,,,,,423.85,,,,
E683,,,,,,,,,
E684,,,,,214.1,,,,
E685,,,,,227.65,,,,
E686,,,,,144.1,,,,
E687,,,,,69.8,,,,
E688,,,,,69.8,,,,
E690,,,,,43.85,,,,
E691,,,,,178.4,,,,
E692,,,,,69.7,,,,
E693,,,,,,,,,
E694,,,,,,,,,
E695,,,,,,,,,
E696,,,,,30.65,,,,
E697,,,,,142.4,,,,
E698,,,,,69.7,,,,
E700,,,,,13.4,,,,
E702,,,,,15.1,,,,
E703,,,,,50.5,,,,
E704,,,,,46.5,,,,
E705,,,,,30.3,,,,
E706,,,,,122.05,,,,
E707,,,,,70.8,,,,
E708,,,,,122.05,,,,
E709,,,,,122.05,,,,
E710,,,,,45.55,,,,
E711,,,,,106.55,,,,
E712,,,,,111.1,,,,
E713,,,,,137.55,,,,
E714,,,,,82.35,,,,
E715,,,,,74.9,,,,
E716,,,,,147.3,,,,
E717,,,,,27.05,,,,
E718,,,,,142.4,,,,
E720,,,,,77.5,,,,
E721,,,,,122.05,,,,
E722,,,,,162.7,,,,
E723,,,,,284.8,,,,
E724,,,,,23.25,,,,
E725,,,,,130,,,,
E726,,,,,226,,,,
E727,,,,,65.9,,,,
E728,,,,,167.65,,,,
E729,,,,,284.75,,,,
E730,,,,,740.95,,,,
E731,,,,,247.05,,,,
E732,,,,,29.1,,,,
E733,,,,,142.4,,,,
E734,,,,,211.15,,,,
E735,,,,,284.75,,,,
E736,,,,,187.9,,,,
E737,,,,,82.35,,,,
E738,,,,,387.4,,,,
E739,,,,,122.05,,,,
E740,,,,,51.75,,,,
E741,,,,,31.15,,,,
E742,,,,,217.35,,,,
E743,,,,,153.05,,,,
E744,,,,,115.8,,,,
E745,,,,,94.85,,,,
E746,,,,,5.85,,,,
E747,,,,,31.15,,,,
E748,,,,,122.05,,,,
E749,,,,,22.35,,,,
E750,,,,,26.05,,,,
E751,,,,,54.7,,,,
E752,,,,,83.25,,,,
E753,,,,,241.2,,,,
E754,,,,,57.5,,,,
E755,,,,,69.3,,,,
E756,,,,,24.5,,,,
E757,,,,,55.25,,,,
E758,,,,,217.35,,,,
E759,,,,,95.95,,,,
E760,,,,,167.85,,,,
E761,,,,,95.95,,,,
E762,,,,,301.05,,,,
E764,,,,,24.2,,,,
E765,,,,,300.45,,,,
E766,,,,,29.7,,,,
E767,,,,,138.15,,,,
E768,,,,,236.7,,,,
E769,,,,,260.05,,,,
E770,,,,,23.1,,,,
E771,,,,,343.4,,,,
E772,,,,,175.5,,,,
E773,,,,,49.9,,,,
E775,,,,,15.35,,,,
E776,,,,,24.9,,,,
E777,,,,,11.5,,,,
E780,,,,,32.6,,,,
E781,,,,,49.9,,,,
E782,,,,,49.9,,,,
E783,,,,,99.65,,,,
E784,,,,,49.85,,,,
E785,,,,,54.25,,,,
E786,,,,,99.7,,,,
E787,,,,,260.4,,,,
E788,,,,,99.7,,,,
E789,,,,,99.7,,,,
E790,,,,,8.8,,,,
E791,,,,,26,,,,
E792,,,,,,,,,
E793,,,,,,,,,
E794,,,,,35.85,,,,
E795,,,,,46.3,,,,
E796,,,,,102.4,,,,
E797,,,,,46.3,,,,
E798,,,,,69.7,,,,
E799,,,,,25.25,,,,
E800,,,,,101.5,,,,
E801,,,,,152.3,,,,
E802,,,,,50.75,,,,
E803,,,,,30.65,,,,
E804,,,,,145.05,,,,
E805,,,,,203.05,,,,
E807,,,,,2644.75,,,,
E808,,,,,150,,,,
E809,,,,,250,,,,
E815,,,,,398.15,,,,
E817,,,,,15.35,,,,
E818,,,,,24.9,,,,
E819,,,,,54.65,,,,
E820,,,,,49.75,,,,
E822,,,,,37.7,,,,
E823,,,,,233.65,,,,
E824,,,,,49.85,,,,
E825,,,,,63.95,,,,
E826,,,,,,,,,
E827,,,,,600,,,,
E828,,,,,104,,,,
E829,,,,,300,,,,
E830,,,,,107.2,,,,
E831,,,,,,,,,
E832,,,,,273.85,,,,
E833,,,,,116.1,,,,
E837,,,,,50.75,,,,
E838,,,,,79.4,,,,
E839,,,,,19.2,,,,
E840,,,,,119.2,,,,
E841,,,,,226.8,,,,
E842,,,,,58.6,,,,
E843,,,,,103.05,,,,
E844,,,,,200,,,,
