CODE,Cat1,Cat2,Cat3,Cat4,Description,$,T,P,P1
E542,DIGESTIVE SYSTEM SURGICAL PROCEDURES,RECTUM,,,,11.55,,,
E542,DIGESTIVE SYSTEM SURGICAL PROCEDURES,ABDOMEN,,,,,,,
E542,MALE GENITAL SURGICAL PROCEDURES,PENIS,,,,11.55,,,
E542,FEMALE GENITAL SURGICAL PROCEDURES,VULVA AND INTROITUS,,,,11.55,,,
E542,FEMALE GENITAL SURGICAL PROCEDURES,VAGINA,,,,11.55,,,
E542,FEMALE GENITAL SURGICAL PROCEDURES,CORPUS UTERI,,,,11.55,,,
E542,OCULAR AND AURAL SURGICAL PROCEDURES,EYELIDS,,,,11.55,,,
E543,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,INJECTIONS OR INFUSIONS,,,,30.6,,,
E544,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,GENERAL FEES,,,,,,,
E545,MALE GENITAL SURGICAL PROCEDURES,VAS DEFERENS,,,,11.55,,,
E546,INTEGUMENTARY SYSTEM SURGICAL PROCEDURES,OPERATIONS OF THE BREAST,,,,388.75,,,
E546,INTEGUMENTARY SYSTEM SURGICAL PROCEDURES,OPERATIONS OF THE BREAST,,,,388.75,,,
E547,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,GENERAL FEES,,,,59.4,,,
E550,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,GENERAL FEES,,,,63.15,,,
E551,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,GENERAL FEES,,,,86.3,,,
E552,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,GENERAL FEES,,,,58.45,,,
E553,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,GENERAL FEES,,,,25.15,,,
E554,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,PREAMBLE,,,,175,,,
E555,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,GENERAL FEES,,,,,,,
E556,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,GENERAL FEES,,,,,,,
E557,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,SKULL AND MANDIBLE,,,,154,,,
E558,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,HAND AND WRIST,,,,22.25,,,
E559,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,HAND AND WRIST,,,,142.9,,,
E560,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,FOOT AND ANKLE,,,,12.05,,,
E561,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,FOOT AND ANKLE,,,,14.9,,,
E564,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,HAND AND WRIST,,,,,,,
E564,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,ELBOW AND FOREARM,,,,,,,
E564,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,SHOULDER,,,,,,,
E564,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,KNEE,,,,,,,
E564,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,FOOT AND ANKLE,,,,,,,
E569,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,GENERAL FEES,,,,,,,
E571,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,HAND AND WRIST,,,,148.75,,,
E575,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,FOOT AND ANKLE,,,,41.7,,,
E576,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,HAND AND WRIST,,,,10.25,,,
E577,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,HAND AND WRIST,,,,10.25,,,
E578,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,FOOT AND ANKLE,,,,10.25,,,
E579,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,FOOT AND ANKLE,,,,10.25,,,
E580,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,HAND AND WRIST,,,,70.95,,,
E580,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,ELBOW AND FOREARM,,,,70.95,,,
E580,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,FOOT AND ANKLE,,,,70.95,,,
E581,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,HAND AND WRIST,,,,128.95,,,
E581,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,ELBOW AND FOREARM,,,,128.95,,,
E581,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,FOOT AND ANKLE,,,,128.95,,,
E582,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ALLERGY,,,,32.2,,,
E583,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,HAND AND WRIST,,,,94.6,,,
E584,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,GENERAL FEES,,,,11.15,,,
E584,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,HAND AND WRIST,,,,11.15,,,
E584,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,HAND AND WRIST,,,,11.15,,,
E584,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,ELBOW AND FOREARM,,,,11.15,,,
E584,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,FOOT AND ANKLE,,,,11.15,,,
E584,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,FOOT AND ANKLE,,,,11.15,,,
E584,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,FOOT AND ANKLE,,,,11.15,,,
E584,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,FOOT AND ANKLE,,,,11.15,,,
E585,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,FOOT AND ANKLE,,,,47.3,,,
E586,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,PREAMBLE,,,,,,,
E587,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,FOOT AND ANKLE,,,,41.7,,,
E588,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,SKULL AND MANDIBLE,,,,256.4,,,
E590,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,GENERAL FEES,,,,76.1,,,
E591,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,HAND AND WRIST,,,,158.65,,,
E592,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,HAND AND WRIST,,,,133.05,,,
E594,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,FOOT AND ANKLE,,,,41.7,,,
E596,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,FOOT AND ANKLE,,,,41.7,,,
E597,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,SKULL AND MANDIBLE,,,,87.05,,,
E598,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,KNEE,,,,94.6,,,
E599,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,ELBOW AND FOREARM,,,,87.2,,,
E599,MUSCULOSKELETAL SYSTEM SURGICAL PROCEDURES,FOOT AND ANKLE,,,,87.2,,,
E600,RESPIRATORY SURGICAL PROCEDURES,LARYNX,,,,33.6,,,
E601,RESPIRATORY SURGICAL PROCEDURES,CHEST WALL AND MEDIASTINUM,,,,57.5,,,
E602,RESPIRATORY SURGICAL PROCEDURES,CHEST WALL AND MEDIASTINUM,,,,177.95,,,
E603,RESPIRATORY SURGICAL PROCEDURES,NOSE,,,,50.9,,,
E604,RESPIRATORY SURGICAL PROCEDURES,CHEST WALL AND MEDIASTINUM,,,,55.6,,,
E605,RESPIRATORY SURGICAL PROCEDURES,CHEST WALL AND MEDIASTINUM,,,,55.6,,,
E607,RESPIRATORY SURGICAL PROCEDURES,LUNGS AND PLEURA,,,,152.3,,,
E608,RESPIRATORY SURGICAL PROCEDURES,LUNGS AND PLEURA,,,,84.15,,,
E609,RESPIRATORY SURGICAL PROCEDURES,LUNGS AND PLEURA,,,,121.7,,,
E609,RESPIRATORY SURGICAL PROCEDURES,LUNGS AND PLEURA,,,,121.7,,,
E610,RESPIRATORY SURGICAL PROCEDURES,LUNGS AND PLEURA,,,,263.8,,,
E611,RESPIRATORY SURGICAL PROCEDURES,LUNGS AND PLEURA,,,,145,,,
E612,RESPIRATORY SURGICAL PROCEDURES,LUNGS AND PLEURA,,,,338.35,,,
E613,RESPIRATORY SURGICAL PROCEDURES,LUNGS AND PLEURA,,,,500,,,
E614,RESPIRATORY SURGICAL PROCEDURES,LUNGS AND PLEURA,,,,162.45,,,
E615,RESPIRATORY SURGICAL PROCEDURES,LUNGS AND PLEURA,,,,250,,,
E616,RESPIRATORY SURGICAL PROCEDURES,LUNGS AND PLEURA,,,,142.1,,,
E617,RESPIRATORY SURGICAL PROCEDURES,LUNGS AND PLEURA,,,,78.8,,,
E618,RESPIRATORY SURGICAL PROCEDURES,LUNGS AND PLEURA,,,,121.85,,,
E619,RESPIRATORY SURGICAL PROCEDURES,LUNGS AND PLEURA,,,,162.45,,,
E620,RESPIRATORY SURGICAL PROCEDURES,LUNGS AND PLEURA,,,,78.8,,,
E621,RESPIRATORY SURGICAL PROCEDURES,LUNGS AND PLEURA,,,,45.85,,,
E622,RESPIRATORY SURGICAL PROCEDURES,TRACHEA AND BRONCHI,,,,79.4,,,
E623,RESPIRATORY SURGICAL PROCEDURES,TRACHEA AND BRONCHI,,,,415.15,,,
E624,RESPIRATORY SURGICAL PROCEDURES,LUNGS AND PLEURA,,,,111.2,,,
E625,RESPIRATORY SURGICAL PROCEDURES,LUNGS AND PLEURA,,,,142.2,,,
E626,CARDIOVASCULAR SURGICAL PROCEDURES,ARTERIES,,,,174.35,,,
E626,CARDIOVASCULAR SURGICAL PROCEDURES,ARTERIES,,,,174.35,,,
E627,CARDIOVASCULAR SURGICAL PROCEDURES,ARTERIES,,,,400,,,
E627,CARDIOVASCULAR SURGICAL PROCEDURES,ARTERIES,,,,400,,,
E628,CARDIOVASCULAR SURGICAL PROCEDURES,HEART AND PERICARDIUM,,,,194.5,,,
E629,SURGICAL PREAMBLE,PREAMBLE,,,,137.05,,,
E629,DIGESTIVE SYSTEM SURGICAL PROCEDURES,INTESTINES(EXCEPT RECTUM),,,,137.05,,,
E630,DIGESTIVE SYSTEM SURGICAL PROCEDURES,INTESTINES(EXCEPT RECTUM),,,,137.05,,,
E631,RESPIRATORY SURGICAL PROCEDURES,TRACHEA AND BRONCHI,,,,314.2,,,
E632,RESPIRATORY SURGICAL PROCEDURES,TRACHEA AND BRONCHI,,,,68.4,,,
E633,RESPIRATORY SURGICAL PROCEDURES,TRACHEA AND BRONCHI,,,,44.55,,,
E634,RESPIRATORY SURGICAL PROCEDURES,TRACHEA AND BRONCHI,,,,52,,,
E635,RESPIRATORY SURGICAL PROCEDURES,TRACHEA AND BRONCHI,,,,67.2,,,
E636,RESPIRATORY SURGICAL PROCEDURES,TRACHEA AND BRONCHI,,,,50,,,
E637,RESPIRATORY SURGICAL PROCEDURES,TRACHEA AND BRONCHI,,,,76.45,,,
E638,RESPIRATORY SURGICAL PROCEDURES,TRACHEA AND BRONCHI,,,,81.9,,,
E639,RESPIRATORY SURGICAL PROCEDURES,TRACHEA AND BRONCHI,,,,78.5,,,
E640,RESPIRATORY SURGICAL PROCEDURES,CHEST WALL AND MEDIASTINUM,,,,179.55,,,
E641,DIGESTIVE SYSTEM SURGICAL PROCEDURES,RECTUM,,,,137.05,,,
E642,RESPIRATORY SURGICAL PROCEDURES,NOSE,,,,119.2,,,
E643,RESPIRATORY SURGICAL PROCEDURES,LARYNX,,,,121.65,,,
E644,RESPIRATORY SURGICAL PROCEDURES,LUNGS AND PLEURA,,,,400,,,
E644,DIGESTIVE SYSTEM SURGICAL PROCEDURES,OESOPHAGUS,,,,400,,,
E644,DIGESTIVE SYSTEM SURGICAL PROCEDURES,STOMACH,,,,400,,,
E645,CARDIOVASCULAR SURGICAL PROCEDURES,HEART AND PERICARDIUM,,,,371,,,
E646,CARDIOVASCULAR SURGICAL PROCEDURES,HEART AND PERICARDIUM,,,,187.8,,,
E647,CARDIOVASCULAR SURGICAL PROCEDURES,VALVES,,,,264.7,,,
E648,CARDIOVASCULAR SURGICAL PROCEDURES,HEART AND PERICARDIUM,,,,135.8,,,
E649,CARDIOVASCULAR SURGICAL PROCEDURES,ARTERIES,,,,112.45,,,
E650,CARDIOVASCULAR SURGICAL PROCEDURES,HEART AND PERICARDIUM,,,,371,,,
E651,CARDIOVASCULAR SURGICAL PROCEDURES,HEART AND PERICARDIUM,,,,202.05,,,
E652,CARDIOVASCULAR SURGICAL PROCEDURES,HEART AND PERICARDIUM,,,,187.85,,,
E653,CARDIOVASCULAR SURGICAL PROCEDURES,VEINS,,,,127.15,,,
E654,CARDIOVASCULAR SURGICAL PROCEDURES,HEART AND PERICARDIUM,,,,188.85,,,
E655,CARDIOVASCULAR SURGICAL PROCEDURES,HEART AND PERICARDIUM,,,,348.7,,,
E656,CARDIOVASCULAR SURGICAL PROCEDURES,VALVES,,,,288.85,,,
E657,CARDIOVASCULAR SURGICAL PROCEDURES,VEINS,,,,446.5,,,
E658,CARDIOVASCULAR SURGICAL PROCEDURES,HEART AND PERICARDIUM,,,,278.1,,,
E659,CARDIOVASCULAR SURGICAL PROCEDURES,ARTERIES,,,,169,,,
E660,CARDIOVASCULAR SURGICAL PROCEDURES,HEART AND PERICARDIUM,,,,185.15,,,
E661,CARDIOVASCULAR SURGICAL PROCEDURES,HEART AND PERICARDIUM,,,,185.15,,,
E662,DIGESTIVE SYSTEM SURGICAL PROCEDURES,BILIARY TRACT,,,,49.75,,,
E663,CARDIOVASCULAR SURGICAL PROCEDURES,HEART AND PERICARDIUM,,,,183,,,
E664,CARDIOVASCULAR SURGICAL PROCEDURES,ARTERIES,,,,127.05,,,
E665,CARDIOVASCULAR SURGICAL PROCEDURES,ARTERIES,,,,419,,,
E666,DIGESTIVE SYSTEM SURGICAL PROCEDURES,BILIARY TRACT,,,,52.3,,,
E667,CARDIOVASCULAR SURGICAL PROCEDURES,ARTERIES,,,,266.6,,,
E667,CARDIOVASCULAR SURGICAL PROCEDURES,ARTERIES,,,,266.6,,,
E668,DIGESTIVE SYSTEM SURGICAL PROCEDURES,BILIARY TRACT,,,,93.8,,,
E669,DIGESTIVE SYSTEM SURGICAL PROCEDURES,BILIARY TRACT,,,,102.75,,,
E670,CARDIOVASCULAR SURGICAL PROCEDURES,HEART AND PERICARDIUM,,,,224.7,,,
E671,CARDIOVASCULAR SURGICAL PROCEDURES,HEART AND PERICARDIUM,,,,543.6,,,
E672,CARDIOVASCULAR SURGICAL PROCEDURES,ARTERIES,,,,133.4,,,
E673,SURGICAL PREAMBLE,PREAMBLE,,,,62.05,,,
E674,DIGESTIVE SYSTEM SURGICAL PROCEDURES,STOMACH,,,,142.4,,,
E675,DIGESTIVE SYSTEM SURGICAL PROCEDURES,STOMACH,,,,73.5,,,
E676A,SURGICAL PREAMBLE,PREAMBLE,,,,,,,
E676B,SURGICAL PREAMBLE,PREAMBLE,,,,,,,
E677,RESPIRATORY SURGICAL PROCEDURES,TRACHEA AND BRONCHI,,,,104,,,
E678,RESPIRATORY SURGICAL PROCEDURES,TRACHEA AND BRONCHI,,,,104,,,
E679,CARDIOVASCULAR SURGICAL PROCEDURES,ARTERIES,,,,124.1,,,
E680,DIGESTIVE SYSTEM SURGICAL PROCEDURES,BILIARY TRACT,,,,82.35,,,
E681,DIGESTIVE SYSTEM SURGICAL PROCEDURES,BILIARY TRACT,,,,43.6,,,
E682,CARDIOVASCULAR SURGICAL PROCEDURES,HEART AND PERICARDIUM,,,,423.85,,,
E683,RESPIRATORY SURGICAL PROCEDURES,CHEST WALL AND MEDIASTINUM,,,,,,,
E683,RESPIRATORY SURGICAL PROCEDURES,LUNGS AND PLEURA,,,,,,,
E683,DIGESTIVE SYSTEM SURGICAL PROCEDURES,OESOPHAGUS,,,,,,,
E683,DIGESTIVE SYSTEM SURGICAL PROCEDURES,OESOPHAGUS,,,,,,,
E683,ENDOCRINE SURGICAL PROCEDURES,PARATHYROID,,,,,,,
E684,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,CARDIOVASCULAR,,,,214.1,,,
E685,DIGESTIVE SYSTEM SURGICAL PROCEDURES,INTESTINES(EXCEPT RECTUM),,,,227.65,,,
E686,DIGESTIVE SYSTEM SURGICAL PROCEDURES,ABDOMEN,,,,,,,
E687,DIGESTIVE SYSTEM SURGICAL PROCEDURES,INTESTINES(EXCEPT RECTUM),,,,69.8,,,
E688,DIGESTIVE SYSTEM SURGICAL PROCEDURES,RECTUM,,,,69.8,,,
E690,SURGICAL PREAMBLE,PREAMBLE,,,,43.85,,,
E691,DIGESTIVE SYSTEM SURGICAL PROCEDURES,ABDOMEN,,,,,,,
E692,SURGICAL PREAMBLE,PREAMBLE,,,,69.7,,,
E693,DIGESTIVE SYSTEM SURGICAL PROCEDURES,ABDOMEN,,,,,,,
E694,DIGESTIVE SYSTEM SURGICAL PROCEDURES,ABDOMEN,,,,,,,
E695,SURGICAL PREAMBLE,PREAMBLE,,,,,,,
E696,SURGICAL PREAMBLE,PREAMBLE,,,,30.65,,,
E697,DIGESTIVE SYSTEM SURGICAL PROCEDURES,STOMACH,,,,142.4,,,
E698,SURGICAL PREAMBLE,PREAMBLE,,,,69.7,,,
E700,DIGESTIVE SYSTEM SURGICAL PROCEDURES,ORAL CAVITY AND PHARYNX,,,,13.4,,,
E702,SURGICAL PREAMBLE,PREAMBLE,,,,15.1,,,
E702,DIGESTIVE SYSTEM SURGICAL PROCEDURES,BILIARY TRACT,,,,15.1,,,
E703,SURGICAL PREAMBLE,PREAMBLE,,,,50.5,,,
E704,DIGESTIVE SYSTEM SURGICAL PROCEDURES,BILIARY TRACT,,,,46.5,,,
E705,DIGESTIVE SYSTEM SURGICAL PROCEDURES,INTESTINES(EXCEPT RECTUM),,,,30.3,,,
E706,DIGESTIVE SYSTEM SURGICAL PROCEDURES,STOMACH,,,,122.05,,,
E707,DIGESTIVE SYSTEM SURGICAL PROCEDURES,STOMACH,,,,70.8,,,
E708,DIGESTIVE SYSTEM SURGICAL PROCEDURES,STOMACH,,,,122.05,,,
E709,DIGESTIVE SYSTEM SURGICAL PROCEDURES,STOMACH,,,,122.05,,,
E709,DIGESTIVE SYSTEM SURGICAL PROCEDURES,PANCREAS,,,,122.05,,,
E710,DIGESTIVE SYSTEM SURGICAL PROCEDURES,RECTUM,,,,45.55,,,
E711,DIGESTIVE SYSTEM SURGICAL PROCEDURES,STOMACH,,,,106.55,,,
E711,DIGESTIVE SYSTEM SURGICAL PROCEDURES,STOMACH,,,,106.55,,,
E712,DIGESTIVE SYSTEM SURGICAL PROCEDURES,STOMACH,,,,111.1,,,
E713,DIGESTIVE SYSTEM SURGICAL PROCEDURES,STOMACH,,,,137.55,,,
E714,DIGESTIVE SYSTEM SURGICAL PROCEDURES,INTESTINES(EXCEPT RECTUM),,,,82.35,,,
E715,DIGESTIVE SYSTEM SURGICAL PROCEDURES,LIVER,,,,74.9,,,
E716,DIGESTIVE SYSTEM SURGICAL PROCEDURES,STOMACH,,,,147.3,,,
E717,DIGESTIVE SYSTEM SURGICAL PROCEDURES,INTESTINES(EXCEPT RECTUM),,,,27.05,,,
E718,DIGESTIVE SYSTEM SURGICAL PROCEDURES,INTESTINES(EXCEPT RECTUM),,,,142.4,,,
E720,DIGESTIVE SYSTEM SURGICAL PROCEDURES,INTESTINES(EXCEPT RECTUM),,,,77.5,,,
E721,DIGESTIVE SYSTEM SURGICAL PROCEDURES,STOMACH,,,,122.05,,,
E721,DIGESTIVE SYSTEM SURGICAL PROCEDURES,INTESTINES(EXCEPT RECTUM),,,,122.05,,,
E721,DIGESTIVE SYSTEM SURGICAL PROCEDURES,BILIARY TRACT,,,,122.05,,,
E722,DIGESTIVE SYSTEM SURGICAL PROCEDURES,BILIARY TRACT,,,,162.7,,,
E723,DIGESTIVE SYSTEM SURGICAL PROCEDURES,ABDOMEN,,,,,,,
E724,DIGESTIVE SYSTEM SURGICAL PROCEDURES,ABDOMEN,,,,,,,
E725,DIGESTIVE SYSTEM SURGICAL PROCEDURES,ABDOMEN,,,,,,,
E726,DIGESTIVE SYSTEM SURGICAL PROCEDURES,ABDOMEN,,,,,,,
E726,DIGESTIVE SYSTEM SURGICAL PROCEDURES,ABDOMEN,,,,,,,
E727,DIGESTIVE SYSTEM SURGICAL PROCEDURES,ABDOMEN,,,,,,,
E728,DIGESTIVE SYSTEM SURGICAL PROCEDURES,BILIARY TRACT,,,,167.65,,,
E729,DIGESTIVE SYSTEM SURGICAL PROCEDURES,BILIARY TRACT,,,,284.75,,,
E730,DIGESTIVE SYSTEM SURGICAL PROCEDURES,OESOPHAGUS,,,,740.95,,,
E731,DIGESTIVE SYSTEM SURGICAL PROCEDURES,STOMACH,,,,247.05,,,
E731,DIGESTIVE SYSTEM SURGICAL PROCEDURES,STOMACH,,,,247.05,,,
E731,DIGESTIVE SYSTEM SURGICAL PROCEDURES,STOMACH,,,,247.05,,,
E732,DIGESTIVE SYSTEM SURGICAL PROCEDURES,INTESTINES(EXCEPT RECTUM),,,,29.1,,,
E733,DIGESTIVE SYSTEM SURGICAL PROCEDURES,ABDOMEN,,,,,,,
E734,DIGESTIVE SYSTEM SURGICAL PROCEDURES,ABDOMEN,,,,,,,
E735,DIGESTIVE SYSTEM SURGICAL PROCEDURES,ABDOMEN,,,,,,,
E736,DIGESTIVE SYSTEM SURGICAL PROCEDURES,ABDOMEN,,,,,,,
E737,DIGESTIVE SYSTEM SURGICAL PROCEDURES,INTESTINES(EXCEPT RECTUM),,,,82.35,,,
E738,DIGESTIVE SYSTEM SURGICAL PROCEDURES,INTESTINES(EXCEPT RECTUM),,,,387.4,,,
E739,DIGESTIVE SYSTEM SURGICAL PROCEDURES,ABDOMEN,,,,,,,
E740,DIGESTIVE SYSTEM SURGICAL PROCEDURES,INTESTINES(EXCEPT RECTUM),,,,51.75,,,
E741,DIGESTIVE SYSTEM SURGICAL PROCEDURES,INTESTINES(EXCEPT RECTUM),,,,31.15,,,
E742,DIGESTIVE SYSTEM SURGICAL PROCEDURES,OESOPHAGUS,,,,217.35,,,
E743,DIGESTIVE SYSTEM SURGICAL PROCEDURES,BILIARY TRACT,,,,153.05,,,
E744,DIGESTIVE SYSTEM SURGICAL PROCEDURES,OESOPHAGUS,,,,115.8,,,
E745,DIGESTIVE SYSTEM SURGICAL PROCEDURES,ABDOMEN,,,,,,,
E746,DIGESTIVE SYSTEM SURGICAL PROCEDURES,RECTUM,,,,5.85,,,
E747,DIGESTIVE SYSTEM SURGICAL PROCEDURES,INTESTINES(EXCEPT RECTUM),,,,31.15,,,
E747,DIGESTIVE SYSTEM SURGICAL PROCEDURES,INTESTINES(EXCEPT RECTUM),,,,31.15,,,
E748,DIGESTIVE SYSTEM SURGICAL PROCEDURES,ABDOMEN,,,,,,,
E749,DIGESTIVE SYSTEM SURGICAL PROCEDURES,INTESTINES(EXCEPT RECTUM),,,,22.35,,,
E750,UROGENITAL AND URINARY SURGICAL PROCEDURES,BLADDER,,,,26.05,,,
E751,UROGENITAL AND URINARY SURGICAL PROCEDURES,BLADDER,,,,54.7,,,
E752,UROGENITAL AND URINARY SURGICAL PROCEDURES,KIDNEY AND UPPER URINARY TRACT,,,,83.25,,,
E753,UROGENITAL AND URINARY SURGICAL PROCEDURES,KIDNEY AND UPPER URINARY TRACT,,,,241.2,,,
E754,UROGENITAL AND URINARY SURGICAL PROCEDURES,KIDNEY AND UPPER URINARY TRACT,,,,57.5,,,
E755,MALE GENITAL SURGICAL PROCEDURES,PENIS,,,,69.3,,,
E756,DIGESTIVE SYSTEM SURGICAL PROCEDURES,ABDOMEN,,,,,,,
E757,DIGESTIVE SYSTEM SURGICAL PROCEDURES,ABDOMEN,,,,,,,
E758,DIGESTIVE SYSTEM SURGICAL PROCEDURES,OESOPHAGUS,,,,217.35,,,
E759,UROGENITAL AND URINARY SURGICAL PROCEDURES,KIDNEY AND UPPER URINARY TRACT,,,,95.95,,,
E760,UROGENITAL AND URINARY SURGICAL PROCEDURES,KIDNEY AND UPPER URINARY TRACT,,,,167.85,,,
E761,UROGENITAL AND URINARY SURGICAL PROCEDURES,KIDNEY AND UPPER URINARY TRACT,,,,95.95,,,
E762,UROGENITAL AND URINARY SURGICAL PROCEDURES,KIDNEY AND UPPER URINARY TRACT,,,,301.05,,,
E764,DIGESTIVE SYSTEM SURGICAL PROCEDURES,ABDOMEN,,,,,,,
E765,DIGESTIVE SYSTEM SURGICAL PROCEDURES,LIVER,,,,300.45,,,
E766,UROGENITAL AND URINARY SURGICAL PROCEDURES,KIDNEY AND UPPER URINARY TRACT,,,,29.7,,,
E767,UROGENITAL AND URINARY SURGICAL PROCEDURES,KIDNEY AND UPPER URINARY TRACT,,,,138.15,,,
E768,UROGENITAL AND URINARY SURGICAL PROCEDURES,KIDNEY AND UPPER URINARY TRACT,,,,236.7,,,
E769,UROGENITAL AND URINARY SURGICAL PROCEDURES,KIDNEY AND UPPER URINARY TRACT,,,,260.05,,,
E770,SURGICAL PREAMBLE,PREAMBLE,,,,23.1,,,
E771,UROGENITAL AND URINARY SURGICAL PROCEDURES,KIDNEY AND UPPER URINARY TRACT,,,,343.4,,,
E772,UROGENITAL AND URINARY SURGICAL PROCEDURES,KIDNEY AND UPPER URINARY TRACT,,,,175.5,,,
E773,UROGENITAL AND URINARY SURGICAL PROCEDURES,BLADDER,,,,49.9,,,
E775,UROGENITAL AND URINARY SURGICAL PROCEDURES,BLADDER,,,,15.35,,,
E776,UROGENITAL AND URINARY SURGICAL PROCEDURES,BLADDER,,,,24.9,,,
E777,UROGENITAL AND URINARY SURGICAL PROCEDURES,BLADDER,,,,11.5,,,
E780,UROGENITAL AND URINARY SURGICAL PROCEDURES,BLADDER,,,,32.6,,,
E781,UROGENITAL AND URINARY SURGICAL PROCEDURES,BLADDER,,,,49.9,,,
E782,UROGENITAL AND URINARY SURGICAL PROCEDURES,BLADDER,,,,49.9,,,
E783,UROGENITAL AND URINARY SURGICAL PROCEDURES,BLADDER,,,,99.65,,,
E784,UROGENITAL AND URINARY SURGICAL PROCEDURES,BLADDER,,,,49.85,,,
E785,DIGESTIVE SYSTEM SURGICAL PROCEDURES,INTESTINES(EXCEPT RECTUM),,,,54.25,,,
E786,UROGENITAL AND URINARY SURGICAL PROCEDURES,BLADDER,,,,99.7,,,
E787,UROGENITAL AND URINARY SURGICAL PROCEDURES,BLADDER,,,,260.4,,,
E788,UROGENITAL AND URINARY SURGICAL PROCEDURES,BLADDER,,,,99.7,,,
E789,UROGENITAL AND URINARY SURGICAL PROCEDURES,BLADDER,,,,99.7,,,
E790,UROGENITAL AND URINARY SURGICAL PROCEDURES,BLADDER,,,,8.8,,,
E791,UROGENITAL AND URINARY SURGICAL PROCEDURES,BLADDER,,,,26,,,
E792,UROGENITAL AND URINARY SURGICAL PROCEDURES,KIDNEY AND UPPER URINARY TRACT,,,,,,,
E792,UROGENITAL AND URINARY SURGICAL PROCEDURES,KIDNEY AND UPPER URINARY TRACT,,,,,,,
E792,UROGENITAL AND URINARY SURGICAL PROCEDURES,KIDNEY AND UPPER URINARY TRACT,,,,,,,
E792,UROGENITAL AND URINARY SURGICAL PROCEDURES,KIDNEY AND UPPER URINARY TRACT,,,,,,,
E792,UROGENITAL AND URINARY SURGICAL PROCEDURES,KIDNEY AND UPPER URINARY TRACT,,,,,,,
E792,UROGENITAL AND URINARY SURGICAL PROCEDURES,BLADDER,,,,,,,
E792,UROGENITAL AND URINARY SURGICAL PROCEDURES,BLADDER,,,,,,,
E792,MALE GENITAL SURGICAL PROCEDURES,TESTIS,,,,,,,
