code,name,description,fee,category,billing_constraints,page_number,section,notes
A036,Repeat consultation................................................................,Repeat consultation................................................................,64.1,Consultation,[],230,GENERAL LISTINGS,
A033,Specific assessment...............................................................,Specific assessment...............................................................,47.3,Assessment,[],230,GENERAL LISTINGS,
A034,Partial assessment .................................................................,Partial assessment .................................................................,28.6,Assessment,[],230,GENERAL LISTINGS,
C035,Consultation............................................................................,Consultation............................................................................,96.2,Consultation,[],230,GENERAL LISTINGS,
C036,Repeat consultation................................................................,Repeat consultation................................................................,64.1,Consultation,[],230,GENERAL LISTINGS,
C033,Specific assessment...............................................................,Specific assessment...............................................................,47.3,Assessment,[],230,GENERAL LISTINGS,
C038,Concurrent care..........................................................per visit,Concurrent care..........................................................per visit,34.1,Other,[],230,GENERAL LISTINGS,
A102,February,February,14.0,Other,[],230,GENERAL LISTINGS,
W035,Consultation ............................................................................,Consultation ............................................................................,96.2,Consultation,[],231,CONSULTATIONS AND VISITS,
W036,Repeat consultation ................................................................,Repeat consultation ................................................................,64.1,Consultation,[],231,CONSULTATIONS AND VISITS,
A103,Amd,Amd,12.0,Other,[],231,CONSULTATIONS AND VISITS,
A645,Consultation............................................................................,Consultation............................................................................,98.55,Consultation,[],232,GENERAL LISTINGS,
A646,Repeat consultation................................................................,Repeat consultation................................................................,60.0,Consultation,[],232,GENERAL LISTINGS,
A643,Specific assessment...............................................................,Specific assessment...............................................................,44.4,Assessment,[],232,GENERAL LISTINGS,
A644,Partial assessment .................................................................,Partial assessment .................................................................,24.1,Assessment,[],232,GENERAL LISTINGS,
C645,Consultation............................................................................,Consultation............................................................................,98.55,Consultation,[],232,GENERAL LISTINGS,
C646,Repeat consultation................................................................,Repeat consultation................................................................,60.0,Consultation,[],232,GENERAL LISTINGS,
C643,Specific assessment...............................................................,Specific assessment...............................................................,44.4,Assessment,[],232,GENERAL LISTINGS,
C648,Concurrent care..........................................................per visit,Concurrent care..........................................................per visit,31.0,Other,[],232,GENERAL LISTINGS,
A104,February,February,14.0,Other,[],232,GENERAL LISTINGS,
W645,Consultation............................................................................,Consultation............................................................................,98.55,Consultation,[],233,CONSULTATIONS AND VISITS,
W646,Repeat consultation................................................................,Repeat consultation................................................................,60.0,Consultation,[],233,CONSULTATIONS AND VISITS,
A105,Amd,Amd,12.0,Other,[],233,CONSULTATIONS AND VISITS,
A325,Limited consultation................................................................,Limited consultation................................................................,105.25,Consultation,[],234,GENERAL LISTINGS,
A226,Repeat consultation................................................................,Repeat consultation................................................................,105.25,Consultation,[],234,GENERAL LISTINGS,
A221,Genetic minor assessment .....................................................,Genetic minor assessment .....................................................,38.05,Assessment,[],234,GENERAL LISTINGS,
K016,"Genetic assessment, patient or family........................ per unit","Genetic assessment, patient or family........................ per unit",74.05,Assessment,[],234,GENERAL LISTINGS,
A106,February,February,14.0,Other,[],234,GENERAL LISTINGS,
A107,Amd,Amd,12.0,Other,[],235,CONSULTATIONS AND VISITS,
K222,"Genetic care, patient or family.................................... per unit","Genetic care, patient or family.................................... per unit",79.3,Other,[],236,CONSULTATIONS AND VISITS,
K223,Clinical interpretation ..............................................................,Clinical interpretation ..............................................................,40.0,Other,[],236,CONSULTATIONS AND VISITS,
K229,Complex genetic test interpretation ............................ per unit,Complex genetic test interpretation ............................ per unit,65.85,Other,[],236,CONSULTATIONS AND VISITS,
A108,February,February,14.0,Other,[],236,CONSULTATIONS AND VISITS,
K044,Genetic family counselling.......................................... per unit,Genetic family counselling.......................................... per unit,62.75,Other,[],237,CONSULTATIONS AND VISITS,
A109,Amd,Amd,12.0,Other,[],237,CONSULTATIONS AND VISITS,
A220,..............................................................................,..............................................................................,310.45,Other,[],238,CONSULTATIONS AND VISITS,
A223,.............................................................,.............................................................,401.3,Other,[],238,CONSULTATIONS AND VISITS,
C325,Limited consultation................................................................,Limited consultation................................................................,105.25,Consultation,[],238,CONSULTATIONS AND VISITS,
C226,Repeat consultation................................................................,Repeat consultation................................................................,105.25,Consultation,[],238,CONSULTATIONS AND VISITS,
A800,.............................,.............................,167.35,Other,[],238,CONSULTATIONS AND VISITS,
A801,...................................................................................,...................................................................................,300.7,Other,[],238,CONSULTATIONS AND VISITS,
W325,Limited consultation................................................................,Limited consultation................................................................,105.25,Consultation,[],238,CONSULTATIONS AND VISITS,
W226,Repeat consultation................................................................,Repeat consultation................................................................,105.25,Consultation,[],238,CONSULTATIONS AND VISITS,
A110,February,February,14.0,Other,[],238,CONSULTATIONS AND VISITS,
A111,Amd,Amd,12.0,Other,[],239,CONSULTATIONS AND VISITS,
A075,Consultation............................................................................,Consultation............................................................................,202.55,Consultation,[],240,GENERAL LISTINGS,
A775,Comprehensive geriatric consultation.....................................,Comprehensive geriatric consultation.....................................,310.45,Consultation,[],240,GENERAL LISTINGS,
A770,Extended comprehensive geriatric consultation ....................,Extended comprehensive geriatric consultation ....................,401.3,Consultation,[],240,GENERAL LISTINGS,
A112,February,February,14.0,Other,[],240,GENERAL LISTINGS,
A113,Amd,Amd,12.0,Other,[],241,CONSULTATIONS AND VISITS,
A375,Limited consultation................................................................,Limited consultation................................................................,105.25,Consultation,[],242,CONSULTATIONS AND VISITS,
A076,Repeat consultation................................................................,Repeat consultation................................................................,105.25,Consultation,[],242,CONSULTATIONS AND VISITS,
A073,Medical specific assessment ..................................................,Medical specific assessment ..................................................,90.45,Assessment,[],242,CONSULTATIONS AND VISITS,
A078,Partial assessment .................................................................,Partial assessment .................................................................,45.3,Assessment,[],242,CONSULTATIONS AND VISITS,
K077,Geriatric telephone support ........................................ per unit,Geriatric telephone support ........................................ per unit,40.05,Other,[],242,CONSULTATIONS AND VISITS,
A114,February,February,14.0,Other,[],242,CONSULTATIONS AND VISITS,
C075,Consultation............................................................................,Consultation............................................................................,232.1,Consultation,[],243,CONSULTATIONS AND VISITS,
A775,.............................................................,.............................................................,310.45,Other,[],243,CONSULTATIONS AND VISITS,
A770,...................................................,...................................................,401.3,Other,[],243,CONSULTATIONS AND VISITS,
C375,Limited consultation................................................................,Limited consultation................................................................,105.25,Consultation,[],243,CONSULTATIONS AND VISITS,
C076,Repeat consultation................................................................,Repeat consultation................................................................,105.25,Consultation,[],243,CONSULTATIONS AND VISITS,
C073,Medical specific assessment ..................................................,Medical specific assessment ..................................................,90.45,Assessment,[],243,CONSULTATIONS AND VISITS,
C078,Concurrent care..........................................................per visit,Concurrent care..........................................................per visit,34.1,Other,[],243,CONSULTATIONS AND VISITS,
A115,Amd,Amd,12.0,Other,[],243,CONSULTATIONS AND VISITS,
W075,Consultation ............................................................................,Consultation ............................................................................,232.1,Consultation,[],244,CONSULTATIONS AND VISITS,
A770,....................................................,....................................................,401.3,Other,[],244,CONSULTATIONS AND VISITS,
W375,Limited consultation.................................................................,Limited consultation.................................................................,105.25,Consultation,[],244,CONSULTATIONS AND VISITS,
W076,Repeat consultation.................................................................,Repeat consultation.................................................................,105.25,Consultation,[],244,CONSULTATIONS AND VISITS,
W279,Periodic health visit .................................................................,Periodic health visit .................................................................,65.05,Other,[],244,CONSULTATIONS AND VISITS,
A116,February,February,14.0,Other,[],244,CONSULTATIONS AND VISITS,
A615,Consultation............................................................................,Consultation............................................................................,172.0,Consultation,[],245,GENERAL LISTINGS,
A765,"Consultation, patient","Consultation, patient",16.0,Consultation,[],245,GENERAL LISTINGS,
A655,Limited consultation................................................................,Limited consultation................................................................,105.25,Consultation,[],245,GENERAL LISTINGS,
A616,Repeat consultation................................................................,Repeat consultation................................................................,105.25,Consultation,[],245,GENERAL LISTINGS,
A613,Medical specific assessment ..................................................,Medical specific assessment ..................................................,85.8,Assessment,[],245,GENERAL LISTINGS,
A618,Partial assessment .................................................................,Partial assessment .................................................................,38.05,Assessment,[],245,GENERAL LISTINGS,
C615,Consultation............................................................................,Consultation............................................................................,172.0,Consultation,[],245,GENERAL LISTINGS,
C765,"Consultation, patient","Consultation, patient",16.0,Consultation,[],245,GENERAL LISTINGS,
C655,Limited consultation................................................................,Limited consultation................................................................,105.25,Consultation,[],245,GENERAL LISTINGS,
C616,Repeat consultation................................................................,Repeat consultation................................................................,105.25,Consultation,[],245,GENERAL LISTINGS,
C613,Medical specific assessment ..................................................,Medical specific assessment ..................................................,85.8,Assessment,[],245,GENERAL LISTINGS,
A117,Amd,Amd,12.0,Other,[],245,GENERAL LISTINGS,
C618,Concurrent care..........................................................per visit,Concurrent care..........................................................per visit,34.1,Other,[],246,CONSULTATIONS AND VISITS,
A118,February,February,14.0,Other,[],246,CONSULTATIONS AND VISITS,
A465,Consultation............................................................................,Consultation............................................................................,181.65,Consultation,[],247,GENERAL LISTINGS,
A765,"Consultation, patient","Consultation, patient",16.0,Consultation,[],247,GENERAL LISTINGS,
A460,Comprehensive infectious disease consultation.....................,Comprehensive infectious disease consultation.....................,310.45,Consultation,[],247,GENERAL LISTINGS,
A275,Limited consultation................................................................,Limited consultation................................................................,105.25,Consultation,[],247,GENERAL LISTINGS,
A466,Repeat consultation................................................................,Repeat consultation................................................................,109.4,Consultation,[],247,GENERAL LISTINGS,
A463,Medical specific assessment ..................................................,Medical specific assessment ..................................................,94.4,Assessment,[],247,GENERAL LISTINGS,
A468,Partial assessment .................................................................,Partial assessment .................................................................,45.0,Assessment,[],247,GENERAL LISTINGS,
C465,Consultation............................................................................,Consultation............................................................................,181.65,Consultation,[],247,GENERAL LISTINGS,
C765,"Consultation, patient","Consultation, patient",16.0,Consultation,[],247,GENERAL LISTINGS,
C275,Limited consultation................................................................,Limited consultation................................................................,105.25,Consultation,[],247,GENERAL LISTINGS,
C466,Repeat consultation................................................................,Repeat consultation................................................................,109.4,Consultation,[],247,GENERAL LISTINGS,
C463,Medical specific assessment ..................................................,Medical specific assessment ..................................................,94.4,Assessment,[],247,GENERAL LISTINGS,
A119,Amd,Amd,12.0,Other,[],247,GENERAL LISTINGS,
C468,Concurrent care ......................................................... per visit,Concurrent care ......................................................... per visit,34.1,Other,[],248,CONSULTATIONS AND VISITS,
W465,Consultation............................................................................,Consultation............................................................................,181.65,Consultation,[],248,CONSULTATIONS AND VISITS,
W765,"Consultation, patient","Consultation, patient",16.0,Consultation,[],248,CONSULTATIONS AND VISITS,
A460,...................................................,...................................................,310.45,Other,[],248,CONSULTATIONS AND VISITS,
W275,Limited consultation................................................................,Limited consultation................................................................,105.25,Consultation,[],248,CONSULTATIONS AND VISITS,
W466,Repeat consultation................................................................,Repeat consultation................................................................,109.4,Consultation,[],248,CONSULTATIONS AND VISITS,
W299,Periodic health visit.................................................................,Periodic health visit.................................................................,65.05,Other,[],248,CONSULTATIONS AND VISITS,
A120,February,February,14.0,Other,[],248,CONSULTATIONS AND VISITS,
A121,Amd,Amd,12.0,Other,[],249,Note:,
A135,Consultation............................................................................,Consultation............................................................................,164.9,Consultation,[],250,GENERAL LISTINGS,
A765,"Consultation, patient","Consultation, patient",16.0,Consultation,[],250,GENERAL LISTINGS,
A130,Comprehensive internal medicine consultation ......................,Comprehensive internal medicine consultation ......................,310.45,Consultation,[],250,GENERAL LISTINGS,
A435,Limited consultation................................................................,Limited consultation................................................................,105.25,Consultation,[],250,GENERAL LISTINGS,
A136,Repeat consultation................................................................,Repeat consultation................................................................,105.25,Consultation,[],250,GENERAL LISTINGS,
A133,Medical specific assessment ..................................................,Medical specific assessment ..................................................,81.55,Assessment,[],250,GENERAL LISTINGS,
A138,Partial assessment .................................................................,Partial assessment .................................................................,38.05,Assessment,[],250,GENERAL LISTINGS,
A120,"Colonoscopy assessment, same day as colonoscopy ...........","Colonoscopy assessment, same day as colonoscopy ...........",18.85,Assessment,[],250,GENERAL LISTINGS,
K045,Diabetes management by a specialist....................................,Diabetes management by a specialist....................................,76.2,Other,[],250,GENERAL LISTINGS,
K046,Diabetes team management...................................................,Diabetes team management...................................................,115.0,Other,[],250,GENERAL LISTINGS,
A122,February,February,14.0,Other,[],250,GENERAL LISTINGS,
C135,Consultation............................................................................,Consultation............................................................................,164.9,Consultation,[],251,CONSULTATIONS AND VISITS,
C765,"Consultation, patient","Consultation, patient",16.0,Consultation,[],251,CONSULTATIONS AND VISITS,
A130,...................................................,...................................................,310.45,Other,[],251,CONSULTATIONS AND VISITS,
C435,Limited consultation................................................................,Limited consultation................................................................,105.25,Consultation,[],251,CONSULTATIONS AND VISITS,
C136,Repeat consultation................................................................,Repeat consultation................................................................,105.25,Consultation,[],251,CONSULTATIONS AND VISITS,
C133,Medical specific assessment ..................................................,Medical specific assessment ..................................................,81.55,Assessment,[],251,CONSULTATIONS AND VISITS,
C138,Concurrent care..........................................................per visit,Concurrent care..........................................................per visit,34.1,Other,[],251,CONSULTATIONS AND VISITS,
A123,Amd,Amd,12.0,Other,[],251,CONSULTATIONS AND VISITS,
W235,Consultation............................................................................,Consultation............................................................................,164.9,Consultation,[],252,CONSULTATIONS AND VISITS,
W765,"Consultation, patient","Consultation, patient",16.0,Consultation,[],252,CONSULTATIONS AND VISITS,
W435,Limited consultation ................................................................,Limited consultation ................................................................,105.25,Consultation,[],252,CONSULTATIONS AND VISITS,
W236,Repeat consultation ................................................................,Repeat consultation ................................................................,105.25,Consultation,[],252,CONSULTATIONS AND VISITS,
W239,Periodic health visit.................................................................,Periodic health visit.................................................................,65.05,Other,[],252,CONSULTATIONS AND VISITS,
A124,February,February,14.0,Other,[],252,CONSULTATIONS AND VISITS,
A285,Consultation............................................................................,Consultation............................................................................,163.0,Consultation,[],253,CONSULTATIONS AND VISITS,
A286,Limited consultation................................................................,Limited consultation................................................................,108.95,Consultation,[],253,CONSULTATIONS AND VISITS,
A586,Repeat consultation................................................................,Repeat consultation................................................................,71.2,Consultation,[],253,CONSULTATIONS AND VISITS,
A283,Medical specific assessment ..................................................,Medical specific assessment ..................................................,82.5,Assessment,[],253,CONSULTATIONS AND VISITS,
A284,Partial assessment .................................................................,Partial assessment .................................................................,38.85,Assessment,[],253,CONSULTATIONS AND VISITS,
A585,Diagnostic consultation...........................................................,Diagnostic consultation...........................................................,73.3,Consultation,[],253,CONSULTATIONS AND VISITS,
C285,Consultation............................................................................,Consultation............................................................................,163.0,Consultation,[],253,CONSULTATIONS AND VISITS,
C286,Limited consultation................................................................,Limited consultation................................................................,108.95,Consultation,[],253,CONSULTATIONS AND VISITS,
C586,Repeat consultation................................................................,Repeat consultation................................................................,71.2,Consultation,[],253,CONSULTATIONS AND VISITS,
C283,Medical specific assessment ..................................................,Medical specific assessment ..................................................,82.5,Assessment,[],253,CONSULTATIONS AND VISITS,
C288,Concurrent care..........................................................per visit,Concurrent care..........................................................per visit,30.1,Other,[],253,CONSULTATIONS AND VISITS,
A125,Amd,Amd,12.0,Other,[],253,CONSULTATIONS AND VISITS,
A445,Consultation............................................................................,Consultation............................................................................,166.5,Consultation,[],254,GENERAL LISTINGS,
A765,"Consultation, patient","Consultation, patient",16.0,Consultation,[],254,GENERAL LISTINGS,
A845,Limited consultation................................................................,Limited consultation................................................................,105.25,Consultation,[],254,GENERAL LISTINGS,
A446,Repeat consultation................................................................,Repeat consultation................................................................,105.25,Consultation,[],254,GENERAL LISTINGS,
A443,Medical specific assessment ..................................................,Medical specific assessment ..................................................,79.85,Assessment,[],254,GENERAL LISTINGS,
A448,Partial assessment .................................................................,Partial assessment .................................................................,38.05,Assessment,[],254,GENERAL LISTINGS,
C445,Consultation............................................................................,Consultation............................................................................,166.5,Consultation,[],254,GENERAL LISTINGS,
C765,"Consultation, patient","Consultation, patient",16.0,Consultation,[],254,GENERAL LISTINGS,
C845,Limited consultation................................................................,Limited consultation................................................................,105.25,Consultation,[],254,GENERAL LISTINGS,
C446,Repeat consultation................................................................,Repeat consultation................................................................,105.25,Consultation,[],254,GENERAL LISTINGS,
C443,Medical specific assessment ..................................................,Medical specific assessment ..................................................,79.85,Assessment,[],254,GENERAL LISTINGS,
A126,February,February,14.0,Other,[],254,GENERAL LISTINGS,
C448,Concurrent care ......................................................... per visit,Concurrent care ......................................................... per visit,34.1,Other,[],255,CONSULTATIONS AND VISITS,
W445,Consultation.............................................................................,Consultation.............................................................................,166.5,Consultation,[],255,CONSULTATIONS AND VISITS,
W765,"Consultation, patient","Consultation, patient",16.0,Consultation,[],255,CONSULTATIONS AND VISITS,
W845,Limited consultation.................................................................,Limited consultation.................................................................,105.25,Consultation,[],255,CONSULTATIONS AND VISITS,
W446,Repeat consultation.................................................................,Repeat consultation.................................................................,105.25,Consultation,[],255,CONSULTATIONS AND VISITS,
W849,Periodic health visit..................................................................,Periodic health visit..................................................................,65.05,Other,[],255,CONSULTATIONS AND VISITS,
A127,Amd,Amd,12.0,Other,[],255,CONSULTATIONS AND VISITS,
A165,Consultation............................................................................,Consultation............................................................................,162.9,Consultation,[],256,GENERAL LISTINGS,
A765,"Consultation, patient","Consultation, patient",16.0,Consultation,[],256,GENERAL LISTINGS,
A160,Comprehensive nephrology consultation................................,Comprehensive nephrology consultation................................,310.45,Consultation,[],256,GENERAL LISTINGS,
A865,Limited consultation................................................................,Limited consultation................................................................,105.25,Consultation,[],256,GENERAL LISTINGS,
A166,Repeat consultation................................................................,Repeat consultation................................................................,105.25,Consultation,[],256,GENERAL LISTINGS,
A163,Medical specific assessment ..................................................,Medical specific assessment ..................................................,80.95,Assessment,[],256,GENERAL LISTINGS,
A168,Partial assessment .................................................................,Partial assessment .................................................................,38.55,Assessment,[],256,GENERAL LISTINGS,
E060,Post Renal Transplant Assessment Premium...........Add,Post Renal Transplant Assessment Premium...........Add,25.0,Assessment,[],256,GENERAL LISTINGS,
A128,February,February,14.0,Other,[],256,GENERAL LISTINGS,
C165,Consultation............................................................................,Consultation............................................................................,162.9,Consultation,[],257,CONSULTATIONS AND VISITS,
C765,"Consultation, patient","Consultation, patient",16.0,Consultation,[],257,CONSULTATIONS AND VISITS,
A160,.............................................................,.............................................................,310.45,Other,[],257,CONSULTATIONS AND VISITS,
C865,Limited consultation................................................................,Limited consultation................................................................,105.25,Consultation,[],257,CONSULTATIONS AND VISITS,
C166,Repeat consultation................................................................,Repeat consultation................................................................,105.25,Consultation,[],257,CONSULTATIONS AND VISITS,
C163,Medical specific assessment ..................................................,Medical specific assessment ..................................................,80.95,Assessment,[],257,CONSULTATIONS AND VISITS,
A129,Amd,Amd,12.0,Other,[],257,CONSULTATIONS AND VISITS,
C168,Concurrent care ......................................................... per visit,Concurrent care ......................................................... per visit,34.1,Other,[],258,CONSULTATIONS AND VISITS,
W165,Consultation ............................................................................,Consultation ............................................................................,162.9,Consultation,[],258,CONSULTATIONS AND VISITS,
W765,"Consultation, patient","Consultation, patient",16.0,Consultation,[],258,CONSULTATIONS AND VISITS,
W865,Limited consultation.................................................................,Limited consultation.................................................................,105.25,Consultation,[],258,CONSULTATIONS AND VISITS,
W166,Repeat consultation.................................................................,Repeat consultation.................................................................,105.25,Consultation,[],258,CONSULTATIONS AND VISITS,
W869,Periodic health visit .................................................................,Periodic health visit .................................................................,65.05,Other,[],258,CONSULTATIONS AND VISITS,
A130,February,February,14.0,Other,[],258,CONSULTATIONS AND VISITS,
A131,Amd,Amd,12.0,Other,[],259,Note:,
A185,Consultation............................................................................,Consultation............................................................................,184.4,Consultation,[],260,GENERAL LISTINGS,
A180,Special neurology consultation...............................................,Special neurology consultation...............................................,310.45,Consultation,[],260,GENERAL LISTINGS,
A682,Extended special neurology consultation ...............................,Extended special neurology consultation ...............................,401.3,Consultation,[],260,GENERAL LISTINGS,
A385,Limited consultation................................................................,Limited consultation................................................................,87.7,Consultation,[],260,GENERAL LISTINGS,
A186,Repeat consultation................................................................,Repeat consultation................................................................,87.7,Consultation,[],260,GENERAL LISTINGS,
A183,Medical specific assessment ..................................................,Medical specific assessment ..................................................,82.4,Assessment,[],260,GENERAL LISTINGS,
A188,Partial assessment .................................................................,Partial assessment .................................................................,39.4,Assessment,[],260,GENERAL LISTINGS,
A113,Complex neuromuscular assessment.....................................,Complex neuromuscular assessment.....................................,93.95,Assessment,[],260,GENERAL LISTINGS,
A132,February,February,14.0,Other,[],260,GENERAL LISTINGS,
A384,................................................................................................,................................................................................................,200.0,Other,[],261,CONSULTATIONS AND VISITS,
K181,are only eligible for payment to a specialist in Neurology,are only eligible for payment to a specialist in Neurology,18.0,Other,[],261,CONSULTATIONS AND VISITS,
A133,Amd,Amd,12.0,Other,[],261,CONSULTATIONS AND VISITS,
C185,Consultation............................................................................,Consultation............................................................................,184.4,Consultation,[],262,CONSULTATIONS AND VISITS,
A180,..............................................................................,..............................................................................,310.45,Other,[],262,CONSULTATIONS AND VISITS,
A682,.............................................................,.............................................................,401.3,Other,[],262,CONSULTATIONS AND VISITS,
A384,.............................................................,.............................................................,200.0,Other,[],262,CONSULTATIONS AND VISITS,
C385,Limited consultation................................................................,Limited consultation................................................................,87.7,Consultation,[],262,CONSULTATIONS AND VISITS,
C186,Repeat consultation................................................................,Repeat consultation................................................................,87.7,Consultation,[],262,CONSULTATIONS AND VISITS,
C183,Medical specific assessment ..................................................,Medical specific assessment ..................................................,82.4,Assessment,[],262,CONSULTATIONS AND VISITS,
A113,.............................................................,.............................................................,93.95,Other,[],262,CONSULTATIONS AND VISITS,
C188,Concurrent care..........................................................per visit,Concurrent care..........................................................per visit,34.1,Other,[],262,CONSULTATIONS AND VISITS,
A134,February,February,14.0,Other,[],262,CONSULTATIONS AND VISITS,
W185,Consultation............................................................................,Consultation............................................................................,184.4,Consultation,[],263,CONSULTATIONS AND VISITS,
A180,.............................................................................,.............................................................................,310.45,Other,[],263,CONSULTATIONS AND VISITS,
A682,.............................................................,.............................................................,401.3,Other,[],263,CONSULTATIONS AND VISITS,
W385,Limited consultation ................................................................,Limited consultation ................................................................,87.7,Consultation,[],263,CONSULTATIONS AND VISITS,
W186,Repeat consultation ................................................................,Repeat consultation ................................................................,87.7,Consultation,[],263,CONSULTATIONS AND VISITS,
A135,Amd,Amd,12.0,Other,[],263,CONSULTATIONS AND VISITS,
A045,Consultation............................................................................,Consultation............................................................................,130.75,Consultation,[],264,GENERAL LISTINGS,
A046,Repeat consultation................................................................,Repeat consultation................................................................,58.25,Consultation,[],264,GENERAL LISTINGS,
A043,Specific assessment...............................................................,Specific assessment...............................................................,58.25,Assessment,[],264,GENERAL LISTINGS,
A044,Partial assessment .................................................................,Partial assessment .................................................................,30.0,Assessment,[],264,GENERAL LISTINGS,
C045,Consultation............................................................................,Consultation............................................................................,130.75,Consultation,[],264,GENERAL LISTINGS,
C046,Repeat consultation................................................................,Repeat consultation................................................................,58.25,Consultation,[],264,GENERAL LISTINGS,
C043,Specific assessment...............................................................,Specific assessment...............................................................,58.25,Assessment,[],264,GENERAL LISTINGS,
C048,Concurrent care..........................................................per visit,Concurrent care..........................................................per visit,31.0,Other,[],264,GENERAL LISTINGS,
A136,February,February,14.0,Other,[],264,GENERAL LISTINGS,
W045,Consultation............................................................................,Consultation............................................................................,107.0,Consultation,[],265,CONSULTATIONS AND VISITS,
W046,Repeat consultation................................................................,Repeat consultation................................................................,51.45,Consultation,[],265,CONSULTATIONS AND VISITS,
A137,Amd,Amd,12.0,Other,[],265,CONSULTATIONS AND VISITS,
A635,Consultation............................................................................,Consultation............................................................................,157.0,Consultation,[],266,GENERAL LISTINGS,
A835,Comprehensive nuclear medicine consultation ......................,Comprehensive nuclear medicine consultation ......................,310.45,Consultation,[],266,GENERAL LISTINGS,
A735,Diagnostic consultation...........................................................,Diagnostic consultation...........................................................,67.4,Consultation,[],266,GENERAL LISTINGS,
A636,Repeat consultation................................................................,Repeat consultation................................................................,70.0,Consultation,[],266,GENERAL LISTINGS,
A633,Specific assessment...............................................................,Specific assessment...............................................................,60.0,Assessment,[],266,GENERAL LISTINGS,
A638,Partial assessment .................................................................,Partial assessment .................................................................,40.0,Assessment,[],266,GENERAL LISTINGS,
A631,Minor assessment...................................................................,Minor assessment...................................................................,17.75,Assessment,[],266,GENERAL LISTINGS,
A138,February,February,14.0,Other,[],266,GENERAL LISTINGS,
A632,Minor assessment...................................................................,Minor assessment...................................................................,17.75,Assessment,[],267,CONSULTATIONS AND VISITS,
C635,Consultation............................................................................,Consultation............................................................................,157.0,Consultation,[],267,CONSULTATIONS AND VISITS,
A835,....................................................,....................................................,310.45,Other,[],267,CONSULTATIONS AND VISITS,
A735,...................................................................................,...................................................................................,67.4,Other,[],267,CONSULTATIONS AND VISITS,
C636,Repeat consultation................................................................,Repeat consultation................................................................,70.0,Consultation,[],267,CONSULTATIONS AND VISITS,
A139,Amd,Amd,12.0,Other,[],267,CONSULTATIONS AND VISITS,
A204,Partial assessment .................................................................,Partial assessment .................................................................,33.7,Assessment,[],268,GENERAL LISTINGS,
A140,February,February,14.0,Other,[],268,GENERAL LISTINGS,
C208,Concurrent care.......................................................... per visit,Concurrent care.......................................................... per visit,31.0,Other,[],269,CONSULTATIONS AND VISITS,
A141,Amd,Amd,12.0,Other,[],269,CONSULTATIONS AND VISITS,
A235,Consultation............................................................................,Consultation............................................................................,82.4,Consultation,[],270,Note:,
A236,Repeat consultation................................................................,Repeat consultation................................................................,45.85,Consultation,[],270,Note:,
A930,Uveitis and ocular inflammatory diseases consultation ..........,Uveitis and ocular inflammatory diseases consultation ..........,150.0,Consultation,[],270,Note:,
A142,February,February,14.0,Other,[],270,Note:,
A233,Specific assessment...............................................................,Specific assessment...............................................................,57.7,Assessment,[],271,CONSULTATIONS AND VISITS,
A234,Partial assessment .................................................................,Partial assessment .................................................................,30.5,Assessment,[],271,CONSULTATIONS AND VISITS,
E423,is limited to a maximum of two services per,is limited to a maximum of two services per,12.0,Other,[],271,CONSULTATIONS AND VISITS,
A143,Amd,Amd,12.0,Other,[],271,CONSULTATIONS AND VISITS,
A230,Orthoptic assessment.............................................................,Orthoptic assessment.............................................................,25.0,Assessment,[],272,CONSULTATIONS AND VISITS,
A250,Retinopathy of prematurity assessment .................................,Retinopathy of prematurity assessment .................................,120.0,Assessment,[],272,CONSULTATIONS AND VISITS,
A144,February,February,14.0,Other,[],272,CONSULTATIONS AND VISITS,
A252,Initial vision rehabilitation assessment....................................,Initial vision rehabilitation assessment....................................,240.0,Assessment,[],273,Definitions,
A145,Amd,Amd,12.0,Other,[],273,Definitions,
A254,is limited to ten,is limited to ten,10.0,Other,[],274,CONSULTATIONS AND VISITS,
A146,February,February,14.0,Other,[],274,CONSULTATIONS AND VISITS,
A251,Special ophthalmologic assessment.......................................,Special ophthalmologic assessment.......................................,120.0,Assessment,[],275,CONSULTATIONS AND VISITS,
A147,Amd,Amd,12.0,Other,[],275,CONSULTATIONS AND VISITS,
A148,February,February,14.0,Other,[],276,1.No other assessment or consultation is eligible for payment when rendered by the same,
C235,Consultation............................................................................,Consultation............................................................................,82.4,Consultation,[],277,CONSULTATIONS AND VISITS,
C236,Repeat consultation................................................................,Repeat consultation................................................................,45.85,Consultation,[],277,CONSULTATIONS AND VISITS,
A231,.............................................................,.............................................................,148.5,Other,[],277,CONSULTATIONS AND VISITS,
A930,.........................................,.........................................,150.0,Other,[],277,CONSULTATIONS AND VISITS,
C233,Specific assessment...............................................................,Specific assessment...............................................................,57.7,Assessment,[],277,CONSULTATIONS AND VISITS,
A250,.............................................................,.............................................................,120.0,Other,[],277,CONSULTATIONS AND VISITS,
C238,Concurrent care..........................................................per visit,Concurrent care..........................................................per visit,31.0,Other,[],277,CONSULTATIONS AND VISITS,
A149,Amd,Amd,12.0,Other,[],277,CONSULTATIONS AND VISITS,
W535,Consultation............................................................................,Consultation............................................................................,82.2,Consultation,[],278,CONSULTATIONS AND VISITS,
W536,Repeat consultation................................................................,Repeat consultation................................................................,45.85,Consultation,[],278,CONSULTATIONS AND VISITS,
A231,.............................................................,.............................................................,148.5,Other,[],278,CONSULTATIONS AND VISITS,
A930,.........................................,.........................................,150.0,Other,[],278,CONSULTATIONS AND VISITS,
A150,February,February,14.0,Other,[],278,CONSULTATIONS AND VISITS,
